size=50, lr=0.001, lr_decay=0.995, epochs=300, batch_size=128
0	0.2673024 0.16332854 0.071950726 0.1454044 -0.25089976 -0.07548667 -0.15014327 -0.7370747 -0.14851579 -0.26624066 0.0037699575 0.16033974 -0.10470069 -0.01932163 -0.39030677 0.06488206 -0.07282185 0.0061436207 -0.09008496 -0.11686168 -0.27200025 -0.24023217 -0.20124365 -0.2874218 -0.0754052 -0.32955614 -0.16016099 0.026425654 -0.17451641 0.10385315 -0.019915152 0.019393913 -0.31851536 0.13528652 -0.14117119 -0.13418935 -0.11703359 -0.12905732 -0.16035192 0.26039973 -0.1798814 -0.11472199 -0.012184748 -0.034896504 0.106028505 -0.16799147 0.046050966 -0.23296793 -0.2244023 -0.1604389
6	0.31414068 -0.06359292 -0.037523225 -0.286535 0.0047685327 -0.17302799 -0.1023309 -0.57789207 -0.15638706 0.071116194 -0.06127987 0.21227548 0.055547625 -0.033615213 -0.3277127 -0.21960914 -0.1181463 -0.00015105976 -0.016735895 -0.43828654 -0.26800185 -0.30474657 -0.2911774 -0.25421008 0.013194561 -0.20280246 -0.22149429 -0.028590256 0.1282806 0.021319719 0.24004671 -0.2707016 -0.015379043 0.011918994 -0.12241992 -0.19751213 -0.092774995 -0.23958303 -0.003912987 -0.049568474 -0.4311687 -0.22449107 -0.09757787 -0.13491045 0.09360646 -0.1971818 0.046809684 -0.25820276 0.3048996 -0.34431106
8	0.18875775 -0.37692425 -0.011455093 -0.1321765 0.0014899787 -0.14378475 -0.138868 -0.12997909 -0.12570083 -0.45003685 0.045532674 0.31659684 0.092161894 -0.037307262 -0.15086319 -0.32118025 -0.13390173 0.2808775 0.16078496 -0.1527872 -0.031934258 0.0569622 -0.40223134 -0.120986044 0.10580123 0.036516946 0.090728596 -0.25006142 0.28893235 -0.39002645 0.1920952 0.0036067138 -0.061305508 0.21890803 0.02566506 -0.10194806 0.079417355 -0.008341021 -0.04084939 0.13865836 -0.40505502 -0.061672967 -0.23411928 0.075075775 0.08381465 -0.23740594 0.07949526 -0.41937307 0.1407118 0.2113584
10	0.09249167 -0.2521078 -0.2091218 -0.11004048 -0.095548436 0.090057366 -0.06636412 -0.33515513 -0.460353 -0.09299373 -0.5155963 -0.09583536 -0.33706805 -0.008510913 0.07214193 -0.0032171055 0.06951235 -0.3327751 -0.5099863 -0.03297706 -0.07215775 -0.0013535531 -0.15142338 -0.0357857 -0.021373842 0.041284084 -0.21645533 0.055998556 -0.11625361 -0.055013444 0.27114522 -0.37977815 -0.13149095 -0.040852368 0.24105498 -0.055820283 0.103834644 -0.0192627 -0.42162958 0.2139258 -0.43302163 -0.16285825 -0.099119194 -0.124200016 0.13640325 0.07497883 0.09386559 0.12941702 -0.21504396 -0.11560902
17	0.31687626 0.13538346 -0.0028656733 0.20644897 -0.03365645 -0.06529307 0.03496589 -0.69381374 -0.5338634 -0.06395323 -0.025099806 0.13693754 -0.09924842 0.034735486 -0.28032193 0.13292862 0.0837441 -0.4716239 -0.34509736 -0.52261424 -0.07182914 -0.04246201 -0.28348035 -0.10909292 -0.056179546 0.01118971 -0.25475273 -0.06276112 -0.08564795 -0.22705334 -0.03924639 -0.2508027 -0.011885498 -0.009789759 -0.029860783 -0.16592069 0.085843846 0.04066241 -0.111006804 0.41133758 -0.37371546 -0.047834765 -0.30291444 -0.40707394 0.07142185 -0.0029131884 0.091183476 -0.103915334 -0.07568395 -0.21271747
20	0.13314496 -0.14427696 -0.1788643 -0.022037044 -0.027807172 0.0074852644 0.09263271 -0.41569558 -0.4689892 -0.09209021 -0.095973305 -0.055392623 -0.26551002 -0.00032205245 0.025986139 0.11676419 -0.0026405707 -0.5189025 -0.4218419 -0.18945593 -0.043798555 0.024268363 -0.07027608 -0.021914216 -0.04186956 0.013757948 -0.2105325 -0.14868978 -0.080285825 -0.21716644 0.3177263 -0.5482771 0.034508992 -0.06946225 0.22345524 -0.18451844 0.061746962 0.14205179 -0.4208496 0.102739215 -0.24713813 -0.04919059 -0.26997238 -0.39215064 0.21868718 0.10427545 0.17509069 0.1285992 -0.065069236 -0.25740838
22	0.19697055 -0.17665274 -0.119515315 -0.2084781 -0.14642137 0.06242979 -0.18303484 -0.48853022 -0.3672571 -0.18657853 -0.12613875 0.16645026 0.07134074 -0.15356317 -0.20328777 -0.32473087 0.023896296 -0.21224903 -0.32480934 -0.544564 -0.12928627 0.007825582 -0.17088903 -0.20664999 0.042164735 0.023462534 -0.21445338 -0.02700797 0.3132452 -0.13974248 0.254293 -0.24815221 -0.15438162 0.010377714 -0.016390812 -0.008541598 -0.024318006 -0.002569553 -0.011895828 0.14034945 -0.5094655 -0.07658375 -0.06574221 -0.27181408 0.108817674 0.040787224 0.016454237 -0.20221262 0.28731087 -0.057334397
23	0.3617469 0.06928529 0.0596876 0.11133363 -0.22736517 -0.03052209 -0.23429915 -0.4931495 -0.3455312 -0.28330243 -0.44938964 0.13801497 -0.074021064 0.03828399 -0.15607075 0.018156923 0.15495566 -0.2407822 -0.33200616 -0.24447913 -0.32692906 -0.023036452 -0.20888732 -0.13346012 0.087566145 -0.073859856 -0.21578562 -0.039227087 -0.12919663 0.026410682 0.012751421 -0.008305444 -0.19660065 0.041225057 -0.014477995 -0.14605059 0.0028722808 -0.01210884 -0.13471827 0.33546904 -0.3810963 -0.26278985 -0.070515916 -0.16609679 0.12180394 -0.06356156 0.05719853 -0.24662954 -0.089738004 -0.011960611
37	0.14875236 -0.09660844 -0.10149558 -0.020184295 0.02891597 0.011748978 0.008942279 -0.39834052 -0.60921746 0.084971756 -0.042561617 0.15848446 0.16376719 0.058432207 -0.1257932 -0.042417876 0.08686982 -0.46216524 -0.37251872 -0.3232002 -0.10186295 0.0030730076 -0.09942732 0.02431367 0.045084063 -0.010130913 -0.30356094 -0.17507435 0.22029239 -0.18219641 0.15773332 -0.34341735 -0.014570595 -0.17689289 -0.1393506 -0.20863879 -0.051553704 0.109299034 -0.055079516 0.10474376 -0.35018227 -0.12095207 -0.033897802 -0.46132648 0.21704006 0.10263437 -0.011243713 -0.043443244 0.34959012 -0.04047114
52	0.131116 -0.18087299 -0.05338421 -0.15015116 -0.0138633065 -0.07819452 -0.08688586 -0.49189147 -0.47653666 0.074714966 -0.22622006 0.2206159 0.06721371 -0.10550343 -0.17654255 -0.18229125 0.035763506 -0.28321326 -0.346429 -0.5857623 0.037626214 -0.060093306 -0.21228069 -0.21331754 -0.0018099674 0.050884943 -0.22637217 -0.12720692 0.26907462 -0.20770466 0.15444621 -0.34590322 -0.089679465 -0.027144453 -0.13166805 -0.10969976 -0.10024037 0.056317307 -0.02446958 0.24640425 -0.5685723 -0.0639737 -0.023920253 -0.30867285 0.14761789 0.022744285 -0.004591656 -0.055369947 0.3067703 -0.33251426
