size=50, lr=0.003, lr_decay=0.995, epochs=300, batch_size=128
0	0.32630992 -0.61281157 0.15035677 0.034666225 0.05587643 0.70587736 -0.68906164 0.046455875 0.50209725 -0.23356485 -0.23945889 0.053405832 -0.15244162 0.35616064 -0.08625091 0.7456685 -0.21091129 0.015504519 -0.3124888 0.38212243 0.46976167 0.28545067 -0.4765888 0.40099403 -0.5293937 -1.0025034 -0.46885473 -0.28698295 -0.3607032 -0.40029892 0.68833315 -0.122991465 -0.20049645 -0.4035301 -0.27790955 -0.27387017 0.30354634 -0.83102685 0.24929851 0.41732457 0.2505487 0.24249996 -0.6304334 0.35420454 0.102635585 0.6014722 0.4034691 0.6794159 0.29310596 -0.76524127
6	0.48350438 -0.0612888 0.8919727 -0.27498773 -0.011806074 0.33643433 -0.46962678 -0.556336 0.47363192 -0.38461867 0.017376509 0.07615748 -0.22460555 0.3863956 -0.4477455 0.38409725 -0.15779048 0.04878808 -0.266289 0.47853005 0.42767462 0.49524575 -0.65597814 0.4623973 -0.6792985 0.9577425 -0.67927074 -0.22017607 -0.5464265 -0.40668526 0.44878763 0.26735532 -0.34735045 -0.24296665 -0.27362213 -0.53203315 0.27733347 -0.5527682 0.24529164 0.20999801 0.23202276 0.6175148 -0.72475636 0.32008985 0.2365794 0.58884203 0.4118421 0.51634127 0.3000435 -0.4496598
8	0.13232522 0.047670446 0.7943267 -0.20970477 -0.13906293 0.16286819 -0.47874412 -0.60579604 0.4204898 -0.4906945 0.09050123 -0.44015038 -0.1803064 0.28991812 0.16811341 0.20234531 -0.13175388 0.10032334 -0.278917 -0.011116803 0.035174772 0.2884018 -0.19716659 -0.049361553 -0.13741685 0.8221738 -0.24002297 -0.36415324 -0.09739308 -0.25291124 0.3146234 0.21469867 -0.5454299 -0.69754905 -0.22106767 0.26978022 -0.020185808 -0.39039406 0.38316002 0.08821427 -0.012245772 0.48210478 0.082880564 0.49352333 -0.08684424 0.85213506 0.40935537 0.029880121 0.2655632 -0.39919007
10	0.09005747 -0.08023163 -0.5700435 0.44069156 -0.6636091 0.03731097 0.887127 0.1083218 0.05892832 -0.5444678 -0.1099897 -0.32625002 -0.4284835 0.33972174 0.49493977 0.06897826 0.1199467 -0.021924647 -0.3524573 0.41221434 0.36956072 0.015104939 -0.44210842 0.6275577 -0.59194005 -0.0070152967 -0.5539633 -0.33645335 -0.022232797 -0.47268 -0.011338125 0.45005637 -0.53345984 -0.4205763 -0.4209148 -0.5328565 0.2509842 -0.08444291 0.4000481 0.013865818 0.070003115 0.08034573 -0.45882222 0.29143032 0.2291483 0.48552173 -0.046418928 0.34370613 0.47773483 -0.008989645
17	-0.037848543 -0.056901697 0.17678797 0.38991675 -0.22734128 0.031572208 -0.83367383 -0.5434034 0.017161313 -0.5361922 -0.017438527 -0.29474008 -0.35372677 0.5490787 -0.022043986 0.09788855 -0.1090709 0.0367005 -0.46354654 0.6181592 0.09012887 0.01449602 -1.0951355 0.8678581 -1.2682322 -1.0919274 -0.38845816 -0.33273122 -0.73262584 -0.4729045 -0.0414883 0.5640016 -0.44009116 -0.36733294 -0.38859344 -0.61545825 0.50166625 0.025632301 0.32526904 0.09191452 0.06503104 -0.06090241 -0.45241404 0.2989562 0.29549658 0.63019425 -0.010399359 0.784689 0.4661363 -0.062469073
20	-0.09984064 -0.009576424 -0.5792852 0.48588175 -0.23083146 0.08076298 0.93314046 -0.21149655 -0.06665171 -0.358374 -0.06292639 -0.22803159 -0.3106513 0.5517682 0.3002278 0.00939517 -0.12084614 0.06673913 -0.3649051 0.6859759 0.07783471 -0.064499065 -0.916095 0.7741862 -1.119318 0.10098782 -0.7496358 -0.34882468 -0.60334295 -0.4462819 -0.05386237 0.34261104 -0.5480113 -0.36097106 -0.45942187 -0.5967818 0.3952413 0.028802156 0.26833948 0.07509781 -0.024017947 -0.019993825 -0.23604237 0.19481403 0.39367342 0.62697977 -0.08317391 0.38636526 0.46812853 0.093244515
22	0.18605568 0.03305404 0.7686842 0.03304567 -0.63180673 0.13065769 -0.44257137 -0.018662363 -0.02256719 -0.49430358 -0.01775898 -0.58719474 -0.41641265 0.33951715 0.6292553 0.3755517 0.0027345184 -0.15018003 -0.42512906 0.58080757 0.20866857 0.177698 -0.6676968 0.30388916 -0.5746035 0.87624997 -0.5584068 -0.2252499 -0.45873788 -0.26969573 0.16753107 0.38736677 -0.3709692 -0.2904254 -0.42110068 -0.24295889 0.444086 -0.3167825 0.21790719 0.08912271 0.1070197 0.12849754 -0.34139523 0.29475266 0.26039192 0.5839063 0.19780816 0.29025918 0.562585 0.0101549495
23	0.4540036 -0.19389841 0.2872415 -0.33985052 -0.4304261 0.26764658 -0.8065321 -0.023764372 0.23762809 -0.3788276 -0.17126581 -0.38541684 -0.36998075 0.22943084 0.28942537 0.24509604 -0.018884795 0.03338333 -0.44176632 0.48779494 0.3783176 0.22046103 -0.29261905 0.2722688 -0.2519303 -0.94801754 -0.18122932 -0.22196625 -0.44094503 -0.4597834 0.12307714 0.18340805 -0.32729548 -0.36893365 -0.5311762 -0.50948817 0.3239103 -0.38113707 0.2011778 0.12545767 0.037548237 0.24683747 -0.6100508 0.39106163 0.13336422 0.5794518 0.10366652 0.47897422 0.44444945 -0.25167754
37	-0.005186499 -0.08784528 0.7926276 0.52664346 -0.330269 0.03215525 -0.3837055 -0.37874725 -0.074381255 -0.3299603 -0.08347105 -0.33466747 -0.45024258 0.37809357 0.13610569 -0.0031482184 0.10160341 -0.21039793 -0.34452638 0.5854063 0.17329766 -0.040826093 -0.84672016 0.563071 -0.8439651 0.54421896 -0.31232166 -0.27695358 -0.49313286 -0.35803056 -0.051518142 0.4371752 -0.35195372 -0.08223558 -0.32955873 -0.39190876 0.28908494 0.06315309 0.11023056 0.07741458 0.040462717 -0.1104148 -0.4441467 -0.006048462 0.22012703 0.30407664 -0.07049012 0.14518404 0.24576265 0.0003141514
52	0.050063644 0.046400197 0.9490829 0.49608028 -0.34462494 0.094295025 -0.4098026 -0.45333338 -0.030560145 -0.27756286 -0.02840155 -0.4726932 -0.30195773 0.3486658 0.28014198 0.067716785 0.025594845 -0.05408418 -0.5407888 0.46954387 0.26761374 0.049394116 -0.8842027 0.70116985 -0.78174585 0.917061 -0.5396909 -0.2949613 -0.68968695 -0.27223527 0.037045226 0.5875398 -0.23300739 -0.34038156 -0.38033888 -0.34506875 0.3621332 -0.0072831167 0.13304383 0.1829255 0.15571734 -0.04651477 -0.51384884 0.2874013 0.19212134 0.51718515 0.137533 0.44877753 0.36179307 -0.01737126
