size=50, nhead=8, dropout=0.2, neigh-por=0.6, lr=0.001, batch-size=256, epochs=500, attributed=False, supervised=False
0	0.08109678 -0.08751288 -0.029617872 0.009850057 0.06142569 0.10965469 0.015307284 -0.009370438 0.05694886 0.0042293267 0.029576099 0.077978946 0.06467024 -0.044131324 -0.05424349 0.12891728 -0.007393059 0.065299526 0.045056622 0.01791769 0.024614803 0.012104759 0.00046523617 0.05880764 0.019893374 0.05998854 -0.023550024 -0.03139533 0.006607673 -0.037438452 -0.018629571 0.047099493 -0.01843777 0.10513521 -0.16157573 0.053987265 0.012803628 -0.015508106 0.022930773 0.020729903 0.012334191 0.03945089 0.11836051 -0.0047556194 -0.08811545 -0.016949885 -0.054771367 0.0065969247 -0.030312393 0.093374625
1	-0.093280256 0.013022118 0.023676615 0.031189634 0.13578372 0.0115918545 0.06215605 0.057334907 0.113079734 -0.056699548 0.082395844 0.025806142 0.08003301 0.15757082 -0.019169623 -0.013844316 0.08560794 -0.02537382 0.059512753 -0.07120535 0.056615237 -0.0479677 0.09185651 -0.04404716 -0.072569564 0.07249009 -0.006088647 -0.08034092 0.018604843 -0.10724965 0.010144341 -0.07169776 -0.014077225 0.010230589 -0.038818922 0.1417312 0.07089553 -0.059325226 0.049573593 0.0832394 0.009155988 0.06604094 -0.037889734 -0.010421654 0.0038834857 0.037085496 -0.0716333 0.10226391 0.0034575684 0.07341696
2	-0.06940775 0.00037661346 0.059726384 -0.06698866 0.022216083 -0.034061957 -0.048846737 0.14368044 -0.08590846 -0.10558091 -0.0634962 -0.03745436 0.060914323 -0.060695287 -0.013213326 0.13295504 0.13453121 -0.029461123 -0.011581807 -0.07007136 0.12139785 -0.031521697 -0.030699944 -0.094855815 -0.017610416 -0.038633287 -0.10546678 -0.051684357 -0.046931777 8.1920996e-05 -0.08400808 0.0073480667 -0.056359623 0.17135394 -0.09169873 -0.040142447 0.089735046 0.0020836699 0.010055937 -0.006576531 -0.056377802 0.17446813 0.07490515 -0.07894572 -0.07342172 0.057198137 -0.034655932 -0.04127372 0.019089328 0.046368964
3	0.003613469 -0.06987242 0.0471542 0.06486947 -0.06280619 -0.023164187 0.0011819117 0.019735785 -0.05344428 0.011870874 -0.06943682 0.03537707 0.087652 0.0028953229 0.11370233 0.10133751 -0.030347284 -0.019269664 -0.03189587 0.12286467 0.074960135 -0.12673329 -0.017493125 0.08333254 -0.08731916 -0.10900919 0.011798474 0.013753174 0.021957302 0.020894267 0.056123283 -0.02017068 0.010793246 -0.042316135 -0.014829459 0.10395193 0.15104866 -0.08286976 -0.052261718 0.07977777 -0.0003455076 0.07751467 0.06365894 -0.09807843 0.027680445 0.002053891 0.032463238 -0.032929137 -0.023459457 0.10722731
4	-0.02663841 -0.051678266 0.010403498 0.13957493 -0.0110784 0.065426804 0.05566625 0.07943731 -0.024494242 -0.11963828 -0.040360086 -0.013794678 -0.0008105569 -0.058741778 0.14477181 0.08260225 -0.09636227 0.049904592 -0.013669303 -0.03134431 -0.019555127 -0.0046090777 -0.09784523 0.07610567 -0.13007762 -0.049924314 -0.06159843 0.022706276 0.027948003 0.07700495 0.029861417 -0.023773411 -0.02889998 0.010089505 -0.08993652 0.15029818 0.08602994 -0.046694484 -0.15027297 0.005471225 -0.03593105 0.15788916 0.06715851 -0.14167595 -0.07184844 -0.11194279 -0.033567492 -0.0722022 0.011463239 0.032957762
5	-0.07862578 0.051733673 0.06619046 0.044534616 -0.042940844 0.14900605 0.0202303 0.02482064 -0.045394618 -0.04431464 0.01092551 0.04770273 0.073979355 0.102188185 -0.013556107 0.10660663 0.10281559 0.015682567 0.016794197 -0.04187822 0.078493245 -0.08160987 -0.056362722 -0.013232544 -0.00053854287 -0.06572049 -0.07864743 -0.12435607 -0.049713675 0.030915998 -0.0421558 0.0386198 0.06351558 0.06680482 -0.06930578 0.14541835 0.114172116 0.011696961 -0.10038444 0.026416555 -0.17065898 0.20598945 -0.013820431 -0.033071823 0.030142648 -0.09464469 -0.13910021 -0.12260683 0.02058109 0.04162842
6	-0.08982166 -0.02994471 -0.09733015 0.07374167 -0.01746524 0.16443963 -0.048211318 0.027996978 -0.031983633 -0.0264371 -0.049542457 -0.027121967 0.03693383 -0.046041735 0.04749303 0.12888408 0.03246659 -0.07578107 0.046239167 0.12213852 0.09885729 -0.06793451 -0.036447827 -0.022964573 -0.13708131 0.025172532 -0.02100741 0.012876311 -0.057519846 -0.08651733 -0.031186642 -0.0525438 -0.020389479 0.08020817 0.007296811 0.016247407 0.08752893 0.011279062 -0.10320249 0.037419163 -0.102467425 0.084070295 0.06568553 0.00061951915 0.030963812 0.020491559 -0.0077832863 0.003042728 0.06346722 0.067755744
7	-0.030998277 -0.035016943 -0.050096817 -0.031502448 0.03904592 0.049800802 0.008137133 0.06663478 0.031296924 0.026299872 -0.017253146 0.09446192 0.19456494 0.01093627 -0.0965541 0.10325652 0.10240092 -0.014472211 0.08715198 -0.003953572 0.095959246 0.03835375 -0.055423897 0.045914125 0.045439065 -0.007986714 -0.025469251 -0.041286882 0.00834053 -0.0238138 -0.029834487 0.07741799 0.06847293 0.13784008 -0.03272197 0.12992032 0.07214297 -0.010231143 0.024902867 -0.007948162 0.024696212 0.18826872 -0.012716045 -0.03861968 0.049423262 -0.00750001 -0.04612475 -0.0023563125 0.03933849 0.009668325
8	0.030095588 0.048721362 -0.016505625 0.07566049 0.013237998 0.12795544 -0.09035353 -0.013678068 -0.026869401 -0.012250955 0.020210266 0.120755665 0.031227615 0.11476604 0.04472012 0.0980883 0.03962012 -0.09444186 0.054262593 0.037525125 -0.02532106 -0.072599985 0.004959762 0.03167625 -0.0844288 0.006903747 -0.06701351 0.0042294874 0.0039401064 0.06383886 -0.013204049 -0.09487462 -0.030172857 0.10410611 -0.09822977 -0.0042943615 0.049735148 0.0053244 0.105349086 0.053554524 -0.07199537 0.084320225 0.06677965 -0.046863146 -0.06723947 0.07633992 -0.0453545 0.0063896324 -0.05285213 0.097383566
9	-0.01249147 -0.1982145 -0.071679674 0.023594657 -0.004587915 -0.025927301 -0.06104635 0.041136764 0.10346836 0.06151908 0.057041805 0.08706723 -0.020093298 -0.017530404 0.06312161 0.16837741 0.07140521 0.025999099 0.0074754534 0.11342835 0.10095262 -0.03422535 -0.07955947 0.09314786 0.0840794 -0.030442575 -0.09044599 0.202522 -0.07737655 -0.07953175 -0.030397201 0.20498452 0.19404627 0.10342904 0.12355955 0.002066802 0.017008299 -0.019776532 -0.05361658 -0.045240417 -0.035700627 0.20345655 -0.018089503 -0.053046316 -0.006662213 -0.063707225 -0.086832404 -0.095949404 -0.12051753 0.017499723
