
0	-0.410931398718897 0.318614411228335 0.0676469909969207 1.09700348543141 0.764897931034576 -0.60079395984956 -1.11438695039641 -1.20761216031428 0.517981185990208 0.594686799330559 -0.45485921731317 -0.841119247932289 0.759204117907665 1.04234859326193 -0.26028246565956 0.687254559460781 -0.0364821997400168 0.331474075348986 0.00629961212275287 0.210894373583262 -1.46973393054816 -0.277847144545425 -0.0671426354515116 -0.91957033023595 0.096811749421991 0.759202833596265 0.474769322097562 -0.140592820901582 -0.863314412176638 0.426836794003723 0.948266291224532 -0.23948630511875 -0.287058193066733 0.547063215695442 -0.26316950613065 -0.469072121892851 -0.218986150774876 -0.217601340215399 0.00630049524059639 0.683897182606612 0.647941868854728 0.628979005202652 0.473092842036379 0.221781817053259 -0.901935026009191 -0.106844725171744 -0.333489614712164 -0.697145184539197 0.226847773666542 -0.35828012013598
1	0.129735474990754 -0.0877909573835148 0.219509678587008 0.0406426103568618 0.133038559504651 -0.386976855881367 0.0734258198475393 -0.41332295461221 -0.288292364480232 0.423069841119655 0.241957032870159 0.738506356241526 0.458181209099789 -0.118635641215384 0.0261145728725256 0.764138133603505 -0.27579074846027 0.71219060027382 -0.47929103113287 0.353178776360054 -0.39317331399069 -0.37144546939824 -0.336902785500054 -0.257465745973776 -0.15098175753318 -0.731680560015211 0.327452565122138 0.437086039320849 0.330536503193157 -0.663559397711369 -0.0432446688206844 -0.882311422641054 0.247158122831985 -0.0245404978185038 0.445266169610406 0.386770145162509 -0.365857193003067 0.151556774403289 0.681921591038245 -0.176833112713106 1.04674418405242 0.00040119336155886 0.181760655250778 0.253986328741571 -0.0452380358101853 -0.812635410661114 0.195255186623259 -0.183042261007903 0.0333852446199692 -0.400789434721948
2	0.0247840284145642 -0.960785683156311 -0.415005595908134 -0.0366869058311179 -0.0909226851178619 0.208813047722374 -0.711210484477447 -0.123165163501856 0.109476355945426 0.0374360751504837 0.154611047003275 -0.612699877408674 -0.362944926658842 0.0706992474260052 -0.715498790851769 0.101947470398145 -0.753580901867039 0.0549323390372915 0.258828686673253 0.371122077152295 -0.113059295360545 -0.258629240530269 0.0586628014890551 0.461442937257904 0.699657792428104 0.0767091826347053 0.877767244392931 0.368052261033045 -0.474027772721689 -0.366111434154506 -0.601787884994621 0.24941162562498 0.0251385091202425 0.579397713098379 -0.142582468623786 -0.126719448747351 0.700576512308016 -0.565739425041325 0.893255059843648 -0.309312471477117 -0.315460346634805 0.440187830260282 0.0238241125311794 0.0180034599418579 0.135179908709258 0.191285941859421 -0.43684749882685 -0.538131275517589 0.382021071974365 0.00776835619960815
3	-0.204196514248856 2.08159295385293 0.469770973822085 0.0780290669571562 -0.303465034544419 -0.4049209506394 0.157416631458018 -1.27427605834026 -0.11826506147342 -1.07064042456371 1.29990888369709 -1.04962297934277 -0.118760655108617 -0.312319307954132 0.191524452255917 0.312066332269245 -0.64005147841743 -0.0330329967231091 1.0184372620742 0.921829911044385 0.338079616224974 0.552737485892704 0.612401698408673 0.332720065508281 0.377596755884703 0.740872349826327 -0.705523132628374 0.612562402609168 -0.179532633230952 0.446792160912324 -0.0925481501848779 -0.792562230096917 -0.534549162808408 0.290396259061697 -0.206676497054097 0.946969382205865 1.42717801772989 -0.372944366388429 -0.0411606595541274 -1.3464315282012 -0.494560087772374 -0.813608451391963 1.00096848792303 0.936740194031379 -0.445242803648836 1.49442738494582 1.43340995604379 -0.491304354058006 -0.813370221629738 0.297759231755264
4	0.109847911072021 -0.435271575483788 -0.275035050062711 0.254548171216713 -0.537369881817541 0.245979001629608 -0.462471915704742 -0.463515134605719 -0.0923406571739174 -0.03078890764615 0.0757607325671243 0.125309810513371 -0.510460142729863 0.105284492832733 0.749862045926212 0.261609585115043 -0.390743510983899 -0.201497999712279 -0.514834030783131 0.451998393835492 0.863848266523133 0.0831073176761694 -0.518805283833699 -1.16491895034568 -0.37373084175954 0.137193699601029 0.183743481413174 -1.07372951281055 -0.43278495804562 0.488767376650458 0.57576866931637 0.902078704696255 -0.921242636862865 -0.502750110135144 0.131782218500175 -0.0379672745110343 0.079528244161346 1.07352365102119 0.0634215443058871 0.156702777936222 0.627909220802516 0.0196615580163119 -0.130149541895284 1.05176925964806 0.0749871932789392 -1.15571949154151 0.468734117777154 -0.09919398289071 -0.0464749995059114 -0.173079019882304
5	0.584202101716131 -0.0235315249507569 -0.46565879183783 -0.581885902103075 -0.909506778977011 -0.318813739391051 -0.106216899843892 0.0703544133638115 0.394768757853075 -0.351739109250686 0.626567204352771 -0.0821571676750268 -0.593664143976443 0.279407211433966 1.35863389462012 1.24435933428183 0.183108673941436 0.726667946984999 -0.0992579841255005 0.00117666723048832 0.164251125107521 -0.895571469215576 -0.379138980652865 -0.608872996227824 0.774376512001365 0.656296583108053 -0.32723300203758 -0.292594693939725 0.381591251966896 0.635915809719911 -0.170099757443996 0.0775082032714641 1.62772823008386 0.117336069550542 0.308101654313226 -0.325561524515193 0.238320254851222 -0.0878628187241902 -0.958771500399538 0.219389391561763 0.406977881302207 -0.114919014566536 0.384505342333199 -0.317339017638104 0.102859233964721 -0.545010861564149 -0.106213792413372 0.504998733875831 -0.26337808891008 0.152648778919803
6	1.03221031888296 0.338522358808647 -0.506408930740631 -0.647080310198241 -0.532597686364584 0.378367969297035 -0.466503197963446 0.619085603382108 -0.593055553149715 -0.509793449325219 -0.103436062901944 -0.231568706086201 0.604244453368226 0.969593941511129 0.376440757921242 0.304367391397409 0.391727850368215 -0.398392947365267 -0.603712046423876 0.794547681259852 0.167852266166174 0.553073454068252 0.632592622053266 -0.383969860254848 -0.591817376614081 -0.096076919162976 -0.295189404727875 -0.246047385628767 0.580787624010843 -0.0813871085643892 0.493892327340256 0.572625965486917 -0.223150848330502 -0.130761878703432 1.917402073422 -0.352436476079788 0.127502580475128 0.100115322181196 0.0126667863934233 0.130651603366352 0.183372620913354 0.00201315157073909 0.486305628684073 0.143760907263688 0.778252245275081 0.113311220697995 -0.0942314564440705 0.558390702222084 0.40954785219721 0.522824791163139
7	0.140902196994972 -0.21683538851299 -0.167655771592145 0.434469596571477 -0.0485461401560549 -0.0296749207358127 0.0359617315961201 -0.554232955597361 0.0782897106089076 -0.898123779330294 0.201650822058193 -0.123721281660782 -0.738668132297115 0.366528149706785 0.0694567541387647 0.47237094603297 -0.556067399477479 0.510136154703435 -0.212667132544997 -0.289168321512679 -0.07749289582415 -0.0897146294354207 -0.170936635587139 0.0217349334861156 -0.464255712626412 0.361534163322425 -0.80569395132475 -1.08216452724284 0.00947774206042266 0.224012736742282 0.0751667829309813 -0.75915342088982 -0.322908249205455 -0.879311841700649 0.401860848629531 0.753323553603354 0.036724263318488 0.48808430028295 -0.156932231799779 -0.625176916525012 0.314343113308403 -0.131813891119693 -0.052561535894693 1.41335349011188 -0.162089999905982 0.120723651325394 -0.5415815231275 0.528830588325976 0.158768206283813 0.0367358974047744
8	0.625096175923055 0.128099356444114 -0.757405945241575 -0.706920583641546 -0.405442568439747 -0.937583483118061 -0.538373749880052 0.0438643034541787 -0.712665518790097 -0.0167846828526274 0.203356726397154 0.209302326038785 -0.0989297360405499 0.513088711128907 1.3750187934883 0.178584084907719 0.742943860323641 0.814455224237756 -0.411983158595514 0.53573400908598 -0.235975425709964 0.252588709101517 0.913633581353481 0.492872172926604 0.35235123147727 0.442081162793503 -0.276549839813075 0.962978648003317 -0.147134090349229 0.108767385182034 -0.708580600495949 -0.433881570137353 -0.489609521085847 1.47819021442236 0.994881764813099 -0.344779532495265 -0.304014578926556 0.427963452127795 -0.480119771123436 -0.0234028110518534 -0.313130012793493 0.121377729205654 0.983635942341057 0.334080591158551 -0.559185156564056 0.0152283592969293 -0.954097489565926 0.551593560382783 -1.22506053997155 0.675823643148974
9	-1.50090217806221 -0.809800583351396 2.05372058641868 -0.468919191186082 0.511307203785722 0.788846646194971 -0.909743109551944 -1.95628784852183 1.15919644718003 0.441800956475292 0.58277104868859 -0.479660347625185 0.0249517756029495 -1.11621344764023 1.35496171611054 -1.84372995545386 0.952016121508689 -0.821221604282896 0.976337734843046 1.43319253199165 0.25570891258838 0.239931702157967 0.690606143839411 0.333216214520265 0.956940364286566 0.304629371975681 -0.19171302475596 0.386972777578565 0.399721636043656 -0.609398964044625 -1.12182096615442 -0.491740322370501 0.0408064881706045 1.22145777480141 -0.170533056938538 -0.513302623439781 0.758983229373744 -1.22388129476654 -1.30790878149603 0.580415686105576 1.0194132573713 -0.367143144546769 -0.947742158180175 -0.883954710859088 0.958813337869503 1.14270984699213 -0.0457363077327139 0.669656732579238 1.34881698293753 -1.40550583212952
