
0	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	0.041606616 0.027643641 0.029257305 0.03840074 0.018657245 0.03523183 0.03183472 0.017478177 0.018256053 0.017112533 0.035638783 0.021388168 0.040832464 0.021701748 0.027472036 0.049717117 0.030390969 0.04647113 0.024672676 0.030016314 0.033336278 0.024730744 0.016803 0.0346922 0.044212677 0.0403858 0.039275117 0.012057087 0.024842951 0.022548316 0.04229192 0.03502414 0.007096439 0.034407694 0.040297866 0.012021698 0.0367465 0.020099478 0.04771865 0.041508656 0.019221354 0.013786257 0.018212093 0.03197224 0.027711308 0.03958196 0.024801835 0.02988127 0.03791796 0.04820735
2	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3	1.9403083e-06 2.4785425e-06 2.3983976e-06 2.750799e-06 2.4830515e-06 3.1870002e-06 2.418641e-06 2.8332731e-06 2.2110096e-06 2.079845e-06 1.3962981e-06 3.482153e-06 1.1092715e-06 1.9472232e-06 2.0823918e-06 3.7117857e-07 1.2816222e-06 1.9768538e-06 1.9139159e-06 2.6435287e-06 2.204013e-06 1.3442384e-06 1.6261048e-06 7.8788077e-07 2.218792e-06 2.546423e-06 2.9694177e-06 2.805662e-06 1.839006e-06 1.7557998e-06 1.3425281e-06 1.280233e-06 3.2621822e-06 2.2009935e-06 5.096037e-07 3.2433215e-06 2.3467082e-06 3.80808e-06 1.9958607e-06 3.4091884e-06 3.640273e-06 2.9479645e-06 3.102462e-06 1.9025133e-06 1.5973719e-06 3.0712138e-06 1.6866304e-06 2.173665e-06 2.7397664e-06 1.4662692e-06
4	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8	0.19279063 0.17314222 0.15328833 0.16370122 0.120026 0.15747955 0.20383698 0.14498757 0.16710411 0.18018316 0.1931251 0.16884731 0.18587346 0.16941564 0.16116479 0.21591786 0.21200731 0.1746199 0.16613236 0.1701904 0.19188172 0.17635079 0.17292583 0.16687065 0.15986745 0.14910488 0.21461245 0.15995044 0.17815258 0.17014015 0.19972147 0.19379437 0.19624911 0.17365992 0.15401411 0.17856748 0.16309081 0.17574744 0.13639687 0.1447355 0.17806754 0.15288307 0.14551044 0.17330419 0.17742583 0.16269438 0.19325794 0.15735699 0.16091017 0.13886684
9	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10	0.04854998 0.069755174 0.050916426 0.06328802 0.03287885 0.05603858 0.049585395 0.03671129 0.054801784 0.03996567 0.058031607 0.04513506 0.04663831 0.04993357 0.03972734 0.06221752 0.058329474 0.06609609 0.05391309 0.030804245 0.06417093 0.034447752 0.013684499 0.03944864 0.07620901 0.07333399 0.07324385 0.029536651 0.043060027 0.03549708 0.051120248 0.065492444 0.033651847 0.048285533 0.04710677 0.042223997 0.043116886 0.045976043 0.060796496 0.066879444 0.04150766 0.055753205 0.05023032 0.053191926 0.04766349 0.07261148 0.055189624 0.057329413 0.06480252 0.064819835
11	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13	0.01964608 0.013214587 0.0077347225 0.004140777 0.0054714563 7.1476056e-06 0.011237549 6.8692075e-06 0.003924406 0.023949785 0.009426212 8.266921e-06 0.018804047 0.010695729 0.009198889 0.0281503 0.007172936 0.014889129 0.01708669 0.014251308 0.01312997 0.0049986835 0.008489364 0.032167125 0.013217886 0.0060460037 0.0067150667 0.006183363 0.0038268242 0.009412608 0.013715709 0.0103060445 0.008625495 0.0035884166 4.9715554e-06 7.2095163e-06 0.014141141 0.0069300905 0.0036820099 0.0043745316 0.003698181 0.004927669 0.013238403 0.0046858564 0.012157021 0.009119251 0.017522903 0.0062490935 0.0037778134 0.0050838934
14	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
16	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
17	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
18	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
19	0.33568752 0.33661062 0.40987045 0.40743476 0.44717348 0.41275412 0.41242012 0.4202714 0.32347018 0.38946378 0.3357457 0.34821635 0.37850997 0.38421378 0.35420686 0.33271095 0.33761337 0.33102328 0.3766425 0.4078392 0.32982016 0.36654148 0.4465104 0.3597815 0.34059477 0.3530034 0.35265064 0.40437958 0.3829373 0.3902929 0.39845017 0.3658583 0.36511302 0.3648227 0.34597933 0.39371428 0.429783 0.36644417 0.3573162 0.4016187 0.38734075 0.3842489 0.36668327 0.34715447 0.36471948 0.36132872 0.34858677 0.3880073 0.3766148 0.3895589
