
0	-0.118563235787088 -0.244582183594501 -0.757049141669115 0.416327264856556 0.0952600462612652 0.485734382167625 0.0475832425268898 -0.1850156476702 -0.405070979791722 0.154383771976749 -0.0738013010938649 0.186305059884197 -0.549156653161242 -0.589495194564519 -0.352875160394971 0.333169701554453 -0.656320039404768 -0.268590365762685 0.447824908001377 0.714864234942598 -0.299024614961977 -0.482259959898248 0.0836046424388425 -0.100608446766972 -0.449076737546974 0.341589929005966 -0.0133643722147786 0.264151599027298 -0.119575441302405 0.150261687026503 -0.565152847507763 0.316146438468425 -0.360498913026805 -0.528157824286985 -0.537559429847209 -0.323500536491573 -0.222069887301728 -0.250608005833745 0.334171331211895 -0.454837512022295 -0.419200009785133 0.0319816089738238 -0.0973866743266775 0.341583626022972 -0.0385623107694901 -0.660844223004542 -0.313262584773381 0.403413267930329 -0.187967506966202 -0.204929650964282
1	-0.576637178095429 0.263274099905452 -0.615440468819585 -0.82303503063518 -0.226375600340333 -0.917239926667273 -0.372823085821509 -0.129297886602772 -0.220588049345086 0.191265996200612 -0.0752957629539748 0.2653322515573 -0.858119054393579 0.427263111037216 -0.204139864764275 0.0796081260712885 -0.459355128322247 0.394379596386277 -0.0236992031790217 -0.507247033257753 0.311404529765676 -0.474193006496882 0.164141545027485 0.239992723073152 0.120566959938156 -0.952115286228831 -0.390220562161893 0.660966240542679 -0.233349218911331 0.319621631403802 0.0435795656750851 0.056592766696102 0.00233951050863864 -0.400100546642389 -0.377593788428805 1.01242636573782 0.565755319295939 -0.0321159647645906 0.443995233376597 1.17357959193242 -0.035695436678082 -0.90261260005324 -0.182641456362724 -1.06199607182969 -0.339767747448903 0.842691719322782 0.225511634917828 -0.533884382026496 -0.18761738949107 -1.00733871591541
2	0.742872324210582 0.504454191430099 -0.107641371189173 0.0584469415516849 0.733391481050675 0.0142430587601203 -0.0522892672209174 0.280883137504425 0.592996705710117 -0.206281679063238 0.29517803046252 0.46214505309418 0.244698665927722 -0.495749981162406 0.043805414725486 0.302497202544339 0.048202818889639 0.365569818570017 -0.0427353634596515 -0.518868839162547 -0.254209980050493 0.175011252314098 0.248205333246155 -0.292352713156466 -0.725065949467845 0.0425110301660467 -0.432179575487109 -0.389591886902792 -0.277735872698428 -0.733268008439518 -0.033064964917347 -0.0275197151277908 -0.319675646584247 0.710440422517229 -0.441560604760688 0.577626427529444 -0.0872667248415034 1.09740309261145 0.688284469718911 -0.336876397726816 -0.16350629572699 0.566823537540764 -0.629626237559212 -0.0225850049089462 0.880822139670856 -0.20334512817935 0.694454967708617 -0.590504253963189 -0.627867355701163 -0.230029198511545
3	-0.560989452777917 0.265918365760635 0.180950395572265 -0.346805661886698 0.344417396515168 -0.0652377786433227 0.411963781721154 -0.277526026982711 -0.139871615566874 0.296776359933029 0.841325846798936 0.278322013829679 0.517627388268276 0.0396088180384329 0.249755162158251 0.324046038303729 -0.638444657389965 -0.372185724198594 -0.424428770952816 0.522473419105817 0.196722383564865 -0.0234105927203966 -0.70477450824161 0.331862937527306 -1.04728153315018 -0.550905941738908 -0.0989446567216664 -0.28252318840257 -0.434076073195939 -0.356171263292152 0.78344594329001 -0.730037930398659 -0.0234815163913081 -0.437530892832009 -0.174293129996552 0.451015324297956 -0.407696836760015 -0.307369093431946 0.26884403716665 -0.483457844190471 -1.07444386212837 0.0993656506711983 0.199499383878291 0.19201245163871 -0.0364763953642686 -0.01309159299452 1.02149717028032 -0.726431760433535 -0.0868782414160754 0.610471179347005
4	-0.356474903207234 0.0933122882441479 0.41182719184612 -0.335122494827879 -0.473216305106426 -0.0617142431188912 -0.363940016570038 0.295651307695234 -0.112372658540662 0.18171591858158 -0.473662419990482 0.342403590959258 0.227366912673506 -0.116357376527334 -0.515894780712224 0.374066228153305 0.169136775240622 0.66214100555969 0.440239819281649 0.386540076237294 -0.313867780061383 0.488768850161676 0.168720953082986 0.478275315358974 0.431626417705371 0.371208544382601 0.534255587086132 -0.427343993439938 -0.171104888190979 0.193280977585486 -0.392102650698357 0.473618248589455 0.44332515062339 0.852381574675514 0.518553124901269 0.10809810018281 0.308205092783296 -0.434556130493327 0.719229049547318 -0.303430299130884 -0.868841821287514 0.222222103051905 0.0927518126971602 -0.00708084891920486 -0.363268133133958 0.348868273077754 -0.482381315998382 0.739973054946422 0.139537696892779 -0.0725972800568716
5	-0.842420551909533 -0.608511147426839 -1.18503281933021 -0.835039144488161 0.00653713407563415 1.56203480486168 -0.438735682195759 0.118469678804493 -0.503801301692494 1.40326159300469 0.0388354510552057 0.124133164632025 0.592213390157583 1.11524760829009 0.874633112595718 0.346366334893306 -0.175618428427706 0.641652238331582 0.938207738762209 0.26502338521621 -0.272037800560912 -0.780965506962285 0.187916153528237 0.396119346098832 -0.0467898039785415 -0.470928002429442 -0.0599638620849331 -0.00634060132554465 0.0181063730602821 -0.361339460012363 0.369221434225976 -0.335280292169835 0.00484676426768092 0.591094516163957 -0.133820993162339 0.577755555888697 -0.578951115591443 0.204452272838737 -0.169469113963647 -0.222365262216679 -0.277408253377629 -0.508534877969717 -0.599083289439935 -0.303540748014991 0.411077867430451 0.36985442894251 -0.166427516853175 0.646866236551322 -0.212947371835501 0.055350293732014
6	0.290415339503559 0.989870142391661 -0.638703391106323 -0.738235334343625 -0.426938172177533 -0.659388321590285 -0.1891973698858 -0.0918725570955651 0.230014669867483 -0.179733216485751 -0.192716682913788 -0.212519174411084 0.0507434052941537 0.560156266570467 0.427001757127845 -0.837169278257082 -0.262054439935798 0.714600958443341 0.0552838868999584 -0.260644027359892 0.108638663991033 -0.793362920748242 -0.377691768095222 0.39804460297453 0.56917332165912 -0.475936228930899 0.836567532717759 -0.875829085308983 -0.247706098015654 -0.184034068078552 0.406509223104043 -0.801487223801622 -0.544563155815999 0.434611111994525 0.12099040085527 -0.614431020220131 -0.289658931175121 -0.727119753982373 -0.250766779050754 0.405261904303972 -0.422026993838509 0.0199797311213632 0.955462095181487 0.516566554093593 0.142740319471983 0.286430983121585 -0.903480056798846 -0.232140201076831 -0.368447011970722 -0.701252717470605
7	0.144658925015328 -0.610411884937253 -0.0506181622260708 -1.0644799537221 0.978598108407123 -0.0602406787621993 0.37961652610443 0.00669981181190025 -0.663420375688214 -0.57012531278039 0.0837842330956234 -0.500733974477035 -0.127384154247801 -0.0757789495665444 0.843635564843279 -0.122758233282931 -0.250421675373531 -0.137349197002168 -0.182984118390651 0.51884997381974 0.213888703207714 0.119080246199743 0.00892708399607632 -0.110648252160167 -1.02412566847435 -0.0996402663513268 0.735229124998146 0.437266623682625 -0.0743055182076921 -0.00823586783246085 -0.00977646243906151 0.429686518882216 -0.0959526732954132 -0.00119053903292234 -0.425323712341824 -0.325724857902591 0.104463795419158 0.161226912660168 0.413099741165406 -0.264433876633376 -0.372096135200829 -0.575561579404064 0.124313393222017 1.17790457231784 -0.0822416426734601 -0.304511723722204 -0.110238595712183 -0.407680574734625 0.206242848352881 -0.468903411766339
8	0.628790805207564 0.169253001415741 0.0496092238712297 -0.362032942812397 0.615569303203014 0.0827210027581281 1.43191361944161 0.337237237007134 0.701784228035538 -0.287897189226523 0.096760971810944 0.83831142246558 0.130477619544674 0.00805983093438933 -0.291221730174187 0.0961857501047113 -0.354863714545953 -1.36757883536677 0.850060600718568 -0.976184065879547 -0.1706585734057 0.074381112843939 -0.613798321777423 0.00954525001148333 0.476006548184829 -0.00974302887626892 -0.430560238033095 -0.26755732178201 1.66939938506835 0.277368165469847 0.74925483240183 -0.626471586693916 0.460338263722027 0.237710521589087 -0.182697049992023 -0.510369609615975 0.108227121754987 0.512117381501133 -0.0322367917033607 -0.45913464857592 -0.219520309680175 0.206799905724453 -0.0360281119654082 0.0595866303435229 0.462190974382044 0.0129179054000264 -1.41196195615162 0.191900560574532 -0.62045170952262 0.91591563925746
9	0.625431881323264 -1.12721683440368 -0.139216314571383 0.418112140273494 0.439357041846003 1.17529776677826 0.195849505667787 1.50301499362621 0.656481090203484 0.0260198572344184 -0.624297760463603 -0.288465992041973 -1.19978635336746 -0.189311365279176 0.519089483522564 -0.495706118222492 0.516210414883831 -0.161231895407675 0.346514911267046 0.245696814887326 -0.109977772105931 -1.10116347067952 0.454117527631344 -1.1145204012365 -0.57869230830403 0.406264803758422 -0.223933404324629 0.292923916630294 0.561805823469391 -0.559602035719482 -0.100523345120279 0.170537196030499 -0.00243651781279074 0.740341327268628 0.201770590076262 0.520860070393132 -0.0309312418274685 0.982976305470071 -0.773324894142981 0.00967117734866655 1.17947663852344 0.824725131505194 -0.188259076510527 0.498435633226517 -0.317206001676696 -0.471986769637638 -1.54087035039785 -1.10951286148732 -0.411223853437626 0.228247221121782
