size=50, negative=5, samples=500.00M, alpha=0.005000
0	0.679802 -0.613957 0.149202 0.047426 0.203724 -0.858998 -0.244124 -0.043415 -0.035660 -0.463417 -1.182773 -0.016603 0.566132 0.183987 1.139113 0.376262 0.125408 -0.688710 -0.370678 0.610089 -0.188468 -0.587206 -0.339025 -0.155768 -0.435936 0.068766 0.070880 0.316217 0.004440 -0.562181 0.641955 -0.260490 0.300528 0.030862 0.517456 0.840660 0.652968 -0.400240 -0.698391 -0.030187 -0.669179 0.149269 0.118522 -0.509894 0.045272 -0.453447 -0.619142 -0.151644 -0.603620 0.287861 
1	0.599672 1.213114 -2.090652 -0.379161 -1.118870 -0.586934 -0.041258 -0.636340 0.455338 0.258843 -0.057290 -0.255127 0.189715 0.402665 -0.028819 -0.278806 0.299280 0.133251 1.051137 0.260039 -0.513425 0.268885 0.495192 0.159159 -0.309640 0.186495 0.269303 -0.129034 -0.044552 0.138078 -0.834958 0.362564 -0.613961 0.064590 -0.325748 -0.058340 1.197602 -0.848273 -1.462468 -0.181915 -0.613640 -0.586834 0.113526 -0.699113 0.577660 -0.228013 -0.894536 -0.136951 -1.041302 0.106200 
2	-0.011932 -0.405362 0.142925 0.163969 -0.426455 -0.423187 0.165853 -0.791382 -0.095498 -0.406174 -0.187294 0.038373 -0.566121 -0.239869 0.480144 -0.293623 0.072672 -0.486896 0.382010 0.848474 -0.677931 -0.331579 0.222276 0.049739 0.290387 0.358016 0.248734 0.030806 0.609733 -0.230427 0.043911 0.290241 -0.529182 0.070455 0.353871 -0.811526 0.217490 -0.514379 -0.423136 -0.008739 -0.302456 0.323726 -0.799964 -0.296752 0.564166 0.368590 -0.332744 -0.067089 -0.442903 0.105321 
3	0.161658 -0.817190 -0.634451 0.162940 -0.527718 -0.168848 0.033595 -0.053221 0.337171 0.308637 -0.512461 -0.019054 -0.234603 -0.226093 0.290250 -0.354101 -0.176543 -0.490774 0.497099 0.190619 -0.916817 -0.776152 -0.416459 -0.582476 -0.210390 0.682674 0.246890 0.503807 0.077311 -0.080094 -0.113826 -0.288145 -1.243202 0.000909 -0.157138 0.045075 0.390558 -0.372402 -0.782707 -0.374521 -0.148222 0.164683 -0.310684 -0.514200 -0.078895 -0.038875 0.039542 0.872663 0.186291 0.193632 
4	-0.027837 -0.860549 0.050737 0.653213 0.264668 -0.853773 -0.331103 0.763469 -0.836081 0.087016 -1.026477 -0.142939 0.131710 -0.303062 0.285431 0.859299 0.247649 0.038460 -0.816381 1.311528 -0.244276 0.327453 0.309338 -0.724229 -0.493649 0.471469 -0.035626 0.842812 -0.346117 0.073180 -0.163673 -0.176952 -1.100547 0.124984 -0.790615 0.756683 0.609044 -0.198819 -0.303272 -0.062220 -0.137160 0.678650 -0.174545 -0.542813 -0.400443 0.419002 -0.774049 0.188666 -0.355509 -0.517280 
5	-0.118757 -0.408288 0.112963 -0.290441 -0.294699 -0.174087 -0.029862 -0.411254 0.171729 -0.376647 -0.405695 -0.118488 -0.442930 -0.480898 0.343494 0.450727 0.597486 0.029491 0.149546 0.863323 -1.373060 -0.115855 -0.404303 -0.221578 -0.159109 0.502526 0.553250 -0.351237 0.777224 -0.701147 0.232013 0.595238 -0.402003 0.387766 -0.375008 -0.804697 0.246519 -0.340589 -0.673652 0.325463 -0.462024 0.492181 -0.250132 -0.216013 0.135306 -0.128996 0.082047 0.153767 -0.212852 0.075197 
6	0.103747 -0.464013 0.049617 -0.251057 0.131981 0.009378 0.295619 -0.553169 0.008967 0.278390 -0.008630 -0.285268 0.031266 -0.381067 0.854256 0.392858 0.142696 -0.488287 0.018887 1.108266 -0.521940 -0.560081 0.159891 0.085062 0.185384 0.670951 0.585624 -0.305400 0.745312 0.092845 -0.296436 0.629886 -0.404468 -0.081934 0.672309 -1.098565 0.143146 -0.300533 -0.513776 -0.086042 0.009227 0.082802 -0.335060 -0.424940 0.569152 0.406400 -0.387791 -0.175944 -0.490588 0.067022 
7	0.595206 -0.365943 0.514324 -0.074952 0.174212 0.140508 -0.084398 0.199317 -0.368861 0.004815 -0.702528 -0.134731 -0.487844 0.214495 1.075063 -0.064895 0.119393 -0.241529 0.037281 0.073955 0.010734 -0.486281 0.477845 0.352017 0.057781 0.303374 0.732312 -0.229253 1.106433 -0.006179 -0.852959 -0.081698 -0.466694 -0.288126 -0.340192 -0.175345 0.645501 -0.719408 -0.855737 0.067406 0.377198 -0.503114 -0.519980 -0.521428 -0.127606 -0.372149 -0.373594 -0.085982 -0.692434 0.389670 
8	0.212026 -0.119672 -0.097632 -0.059577 0.061020 -0.302216 -0.001924 0.161847 -0.365631 -0.053815 -0.840145 0.033674 -1.152666 0.166969 0.656002 -0.104955 0.331701 -0.871072 -0.148504 0.488080 -0.692630 -0.519925 -0.202501 0.456246 0.317084 0.131956 0.915320 -0.451564 0.705988 0.241946 -0.757851 0.285186 -0.016401 -0.083443 -0.337915 -0.027781 0.280607 -0.888586 -0.951475 -0.117290 0.345595 -0.187574 -0.113507 -0.627131 0.425823 -0.305593 -0.614115 0.232857 -0.388697 -0.278049 
9	-0.587058 -0.368082 0.322202 0.222711 0.123656 -0.352501 0.388923 0.298009 -0.001906 0.807604 -0.162710 -0.571116 -0.817239 0.782444 -0.480242 0.558323 0.628989 -0.836286 0.313619 0.530682 -0.865320 0.211643 -0.519559 0.337691 0.227444 -0.097866 1.004423 0.050524 0.751471 -0.494717 -0.274972 -0.041106 0.236005 -1.509078 -0.609472 -0.234149 0.442430 -1.074336 -1.433379 -0.140343 -0.643716 0.038172 0.192692 -0.321480 0.289285 0.152545 0.534541 -0.401342 -0.479253 0.691891 
10	-0.056371 0.337809 0.491353 0.042346 -0.577386 -0.111103 -0.066427 0.291673 0.193890 -0.186635 -1.158214 -0.073132 0.000092 0.099859 0.091430 0.227531 -0.041619 -0.083558 -0.746934 0.189448 -0.511804 0.381394 0.183612 -0.351131 -0.150418 0.052227 0.341398 -0.727103 0.178146 0.145297 0.327711 -0.187681 -0.324167 0.147700 -0.268272 -0.781103 0.004861 -0.745620 0.138283 -0.083018 -0.329969 0.120000 0.181116 0.085038 0.203475 -0.162296 0.143551 -0.440195 -0.306798 0.124476 
11	-0.057304 -0.857260 0.161617 1.168441 0.324586 0.044128 -1.373677 -0.316382 0.579209 0.441358 -0.627697 -0.327107 -0.415518 0.762745 0.506396 0.787388 -0.285562 -0.388022 0.810451 0.907438 -1.021570 -0.016344 -0.326621 -0.149749 0.273959 -0.195801 -0.111155 -0.664304 0.308507 0.586620 -0.106662 -0.252621 -0.912619 0.562107 -0.143476 1.487710 0.534028 0.122257 -0.827108 0.146185 0.527654 0.334878 0.581976 -0.735850 0.368471 -1.029373 0.291824 0.143755 0.084605 -0.780572 
12	-0.460508 -0.355601 -0.661986 0.977682 0.190979 -0.925452 0.088495 -0.836879 0.403554 0.180946 0.108635 0.045069 0.054643 -0.218058 0.662338 0.297355 0.549650 -0.262066 -0.154240 0.159809 -0.463247 -0.202701 -0.038015 -0.447039 0.135191 -0.384396 0.033750 0.289460 -0.735999 -0.530370 0.059457 0.075641 -0.382617 0.038044 -0.415752 -0.471097 0.377820 -0.070687 -1.188271 1.146879 -0.171869 0.163965 -0.064343 -0.614441 0.195237 0.907661 0.142131 0.250068 -1.027425 0.464332 
13	0.178187 -0.073446 -0.000966 0.169217 0.149390 -0.120522 0.211409 0.288067 0.002785 0.009759 -0.526130 -0.016553 -0.732647 0.112634 0.393116 0.141282 0.509067 -0.902190 -0.261429 0.162242 -0.490904 -0.628230 0.429732 0.734994 0.004840 0.305888 0.880445 -0.330395 0.825758 0.096584 -0.769297 0.130488 -0.015238 -0.139704 -0.243838 0.236408 0.557569 -0.535585 -0.999377 -0.155106 0.136247 -0.177164 -0.516187 -0.775185 0.312458 -0.360894 -0.364688 0.289366 -0.540477 -0.213928 
14	0.530141 -0.514653 0.018982 0.660358 0.485396 0.027999 0.386003 0.485754 0.290429 -0.142974 0.114240 -1.303862 -0.283118 0.099357 0.273878 0.036536 0.632391 0.155298 1.405983 0.094701 -0.925889 0.293565 -0.994185 -0.688921 0.528202 0.164578 0.455207 0.417755 0.280738 0.173228 -0.586581 0.723810 -0.645148 0.301018 0.120860 -0.379618 0.285861 -0.722802 -1.066851 -0.766929 -0.379607 0.675028 -0.514517 -0.144102 0.508471 -0.452691 0.136365 -0.348787 -0.277786 -0.057830 
15	0.016618 0.182630 0.276535 -0.027079 0.222108 0.158472 0.036027 0.075457 -0.261667 0.127751 -0.667098 0.093432 -0.516033 0.175494 0.729410 -0.209858 0.564932 -0.994173 -0.297036 0.815922 -0.943141 -0.506579 0.233573 0.390206 0.424451 -0.009215 0.815437 -0.797888 0.666846 0.227664 -1.173756 0.080344 -0.076362 -0.299680 -0.091864 -0.500138 0.414558 -0.834477 -0.619616 -0.449605 0.392868 0.160588 -0.503724 -0.241202 0.626016 0.507461 -0.389261 -0.377461 -0.813657 0.054210 
16	0.571585 -0.306256 -0.036842 0.681408 -0.075855 -0.026626 0.058592 -0.018646 0.295834 0.306867 0.040258 -0.581419 -0.463656 0.284932 0.635085 0.419607 0.784164 -0.267718 0.143979 0.533042 -0.276977 -0.417186 -0.111067 0.375282 0.123774 0.617607 0.257015 0.002999 -0.197356 -0.236698 -0.091746 -0.060501 -0.408824 0.017851 0.510126 -0.341090 0.123567 -0.475112 -0.431209 0.220705 -0.981867 0.433845 -0.460448 -0.579302 0.033328 0.022805 -0.332872 0.160886 -0.605868 0.254437 
17	-0.064945 0.125044 -0.366224 0.384220 0.090778 -0.622121 0.049474 0.509419 -1.338506 0.344640 -0.086103 1.056385 -0.795208 -1.426128 1.155277 -0.463398 0.318453 -0.164247 0.675925 -0.234411 -1.070983 0.343984 1.014875 -0.614812 -1.392906 -0.297889 0.907104 -0.748635 0.044639 -0.926204 0.352468 -0.623684 -0.427330 -0.137261 -0.260811 0.683457 1.148042 -0.828015 -1.270791 -1.016351 -0.507369 -0.043941 -0.628850 -1.110799 0.910509 -0.499381 -0.195113 -0.138894 -0.324138 -0.409200 
18	0.553556 -0.608989 0.977705 0.483398 0.267508 -0.787959 0.984013 0.289234 -0.021279 -0.136507 -0.127089 -0.242644 -0.143372 -0.011487 0.395352 -0.860226 0.052130 -0.304639 0.509431 0.164425 -0.191247 -0.295136 0.177801 -0.106362 0.068911 0.165405 0.588169 0.544632 0.302735 0.310584 -0.301042 -0.030388 -0.549853 0.045936 -0.521887 -0.224258 0.480654 -0.847536 -1.003256 -0.478309 0.281389 -0.321749 -0.331282 -0.522608 -0.079670 -0.209065 0.135110 -0.034598 -0.841962 -0.034630 
19	-0.056631 -0.237693 -0.125183 2.320152 -0.485515 -0.542337 0.265701 0.733884 -0.001902 0.754905 -0.541594 -0.668704 -0.123362 -1.301937 -0.169399 -0.394117 0.001141 -0.376695 0.742036 0.172966 -0.728667 0.101557 -0.669966 0.897370 1.097240 -0.234296 0.536434 0.057704 0.796346 -0.100657 -0.435569 -0.063104 -0.679467 -0.833428 -0.571427 -0.996359 -0.279154 -0.771142 -0.932492 0.629868 -0.987161 0.842121 -0.025064 0.175396 0.137525 -0.133034 -0.212420 -0.332800 -0.506931 0.271966 
20	0.049936 -0.402782 -1.288560 0.485419 -0.610106 -1.206497 -0.408675 0.013441 0.659925 0.284000 0.084750 -0.456704 -0.014686 -0.634824 1.191767 0.012781 0.083188 -0.378419 -0.330715 -0.088072 -0.671636 -0.502959 -0.377554 -0.336113 -0.116350 0.348791 -0.211202 0.448215 0.602681 -0.064954 -0.114322 -0.088315 -0.514660 -0.049989 -0.073007 -0.711522 1.270120 -0.594198 -0.438908 0.662152 -0.044996 0.040707 0.323876 -0.368488 -0.295216 -0.396032 -0.206942 -0.234113 -0.788474 -0.680919 
21	0.787940 -1.160206 -0.304821 0.551834 -0.214308 -0.141935 0.198370 0.442049 0.049226 0.400566 -0.053066 -0.201669 -0.490752 -0.011917 0.542768 -0.246998 0.704980 -0.378988 0.145100 0.704351 0.191193 0.270847 0.008149 0.326340 0.149630 0.944863 0.242045 -0.574091 0.391807 -0.524131 0.591634 -0.278782 -0.554675 -0.091686 -0.094993 -1.358197 0.041047 -0.234758 -0.639721 0.047930 -0.726709 0.386685 -0.303292 -1.049930 0.206835 -0.064399 -0.323271 -0.088858 -0.358388 0.457963 
22	0.458011 0.732502 0.712441 0.499449 -0.054095 -0.276607 -0.202787 -0.168903 0.043989 0.289834 -0.598362 -0.055941 0.834432 0.634237 -0.004349 0.149980 -0.606404 -0.544606 0.342770 0.063392 -0.183016 0.003046 0.052734 -0.009509 0.850656 0.957772 -0.932450 -0.687281 -0.214687 -0.476243 -1.543599 -0.381563 -1.254080 0.439558 -0.027442 -0.029393 0.406536 0.502012 -0.966857 0.798207 0.880468 -0.106452 -0.488066 -0.426920 1.608620 -0.116847 0.895898 -0.977121 -0.469964 -1.114244 
