size=50, negative=5, samples=500.00M, alpha=0.005000
0	0.359580 -0.516840 -0.212943 0.209186 0.038624 0.955987 -0.216653 -0.258292 -0.745859 -1.290913 -0.455830 1.387929 -0.863879 -1.046718 -0.948888 -0.981905 -0.252680 0.115943 0.330269 -0.997664 1.244980 -0.310090 -1.192638 0.120814 -0.096462 -0.469756 0.701347 -1.486200 0.320979 0.371051 0.324616 -1.064307 0.294881 -1.009684 -0.512350 1.067802 0.908740 -1.094937 0.957791 0.625156 -1.111776 -0.484878 0.820322 -0.713419 -1.482273 1.437634 -0.919250 -0.520826 1.378746 -0.876889 
1	1.100968 -0.713330 0.373862 -0.661694 0.253772 1.559253 0.011720 -1.424184 -1.876211 -0.566268 -0.995124 1.403424 -0.937257 -0.031359 -0.147440 -0.396213 0.004557 1.278205 -1.139935 0.692649 0.908571 1.133823 -1.993426 0.104566 -0.239251 -0.522074 2.250971 -1.621918 -0.542665 0.150790 0.198633 -0.547286 0.612530 -2.298589 -0.496211 0.714112 1.114484 0.315947 1.617397 1.377666 -0.166384 0.012512 0.797052 -0.194575 -0.479518 0.568975 -0.840438 0.232981 1.407718 -0.715091 
2	0.260784 -0.253377 0.146151 0.104246 0.109975 0.850208 0.191453 0.278970 -0.788696 -0.110430 -0.042367 0.613555 -0.491177 -0.294735 0.298791 0.041128 -0.391779 0.618066 0.109618 0.551160 -0.112289 0.528512 -0.131300 -0.002305 0.112608 -0.034457 0.476736 -0.840562 0.198396 0.231001 -0.375632 -0.814228 0.310192 -0.483860 -0.144961 0.668667 0.024004 -0.417013 0.502768 0.427466 -0.330606 0.012806 0.346285 -0.153965 -0.965688 0.653796 -0.802544 0.143688 0.183484 -0.550623 
3	1.208644 0.604112 0.045444 -0.010448 -1.019395 -0.143145 0.984001 -1.299969 0.357007 -1.854738 0.027989 1.308208 -0.768105 0.185480 0.099447 -1.836608 0.763879 0.223083 0.765737 1.684399 0.432389 -0.601571 -0.965003 -0.821508 -0.282741 -0.258628 0.432955 -0.996959 -0.111560 0.271023 0.904330 0.359283 0.793100 -1.290573 -0.785142 -1.578214 -0.070600 0.523905 2.264097 0.866994 -0.661842 0.402596 -0.014057 1.098213 -1.432330 1.252557 -0.339271 -0.560450 0.188498 -0.852885 
4	0.245858 0.598665 0.669543 0.082858 0.169548 0.425194 1.261647 0.596599 -0.883097 0.236823 0.232496 0.784560 -1.176272 -0.711629 -0.313671 -0.950785 0.750833 0.118833 -0.015770 0.411263 0.346803 0.236993 -1.706325 -0.060388 0.179702 0.581473 -0.115797 -0.492189 -0.536241 -0.221526 -0.437037 0.447917 0.303796 -0.752264 -1.133730 -0.382703 0.622356 -0.969838 0.697791 0.344015 0.007823 0.724337 1.174933 0.294251 -1.588821 0.194794 -0.249291 -1.053476 1.154269 -0.966349 
5	0.121933 0.279297 1.617674 0.195957 0.274101 0.766080 1.178832 -0.225493 -1.198386 0.730520 0.194201 1.287383 -0.582641 -0.922481 -0.881026 -1.422696 1.002129 0.230631 -0.324616 0.147701 0.098326 0.383661 -1.531910 0.286838 -0.167183 0.752823 -0.249400 -0.554902 -0.184341 0.079877 -0.224950 0.186557 0.330026 -0.884605 -0.918875 -0.303444 1.334064 -0.933749 0.501164 0.283194 -0.900988 0.451144 0.757070 0.167950 -1.598933 0.335011 -0.075336 -1.098522 1.673735 -0.778988 
6	0.497679 0.058295 1.278963 0.223930 0.340778 0.650758 1.354467 0.077788 -1.040159 0.300308 0.292890 1.086280 -0.592392 -0.321596 -0.387746 -0.561785 0.479004 0.732864 -0.103449 0.556821 -0.100248 0.286852 -0.528136 -0.339969 0.573307 0.831170 -0.078035 -0.226571 0.142566 -0.066755 -0.446296 0.089791 0.159254 -0.711468 -0.757698 -0.447227 0.432271 -0.764172 0.425506 0.414390 -0.383252 0.317401 0.873840 0.578722 -1.374489 -0.179100 -0.266345 -0.495154 0.857663 -0.526171 
7	1.273627 -0.483040 0.836918 0.306607 -0.122760 0.381969 0.059731 0.314128 -0.671807 -1.224954 0.817719 1.358012 -0.803970 -0.061653 -0.344833 -0.656105 -0.585578 1.302010 0.111876 0.136420 0.545561 0.047742 -1.348487 -1.226510 -0.302498 -0.210524 0.656746 -0.558386 -0.198144 -0.654820 -0.373182 -0.310333 0.324031 0.126863 -1.359418 -0.026073 0.588749 0.194193 1.080147 0.442688 -0.168855 1.042480 0.518699 0.061632 -1.141567 -0.272135 -0.430205 -0.136376 0.478688 -0.651475 
8	0.109204 -0.029358 1.000965 0.391233 -0.196407 0.248714 0.328969 -0.634702 -0.889963 0.013661 0.553852 0.786705 -0.504982 -0.071508 -0.150307 -0.531275 0.064757 0.736446 -0.124391 0.719704 -0.386199 0.194247 -0.849777 0.029805 -0.362082 0.174809 0.298035 -0.447195 -0.202875 0.617712 -0.580495 -0.085396 0.384677 0.141315 -0.616777 0.127156 0.389211 -0.001674 0.541466 -0.009823 -0.907399 0.169073 0.272729 -0.327819 -1.057714 0.489944 0.043606 0.404035 0.515876 -0.804380 
9	0.929928 -0.006394 0.285533 -0.570495 -0.058785 1.228572 0.926857 0.325663 -1.011816 0.370855 -0.402592 1.001089 -0.378906 -0.136913 0.945108 -0.506159 -0.038641 0.988303 -0.360477 1.158357 0.050951 1.193181 -1.182119 0.126735 -0.270592 -0.325880 0.924569 -0.798466 -0.176500 -0.193750 0.700893 -0.554011 0.952907 -1.627751 -0.156201 -0.225224 1.087913 0.593572 0.868425 1.337571 -0.182202 0.660988 0.703605 0.335053 -0.684387 0.363388 -0.710774 0.051948 0.943847 -0.719600 
