size=50, negative=5, lr=0.01, dropout=0.2, regularization=0.01, grad_norm=1.0, num_bases=-1, num_layers=2, num_epochs=2000, graph_batch_size=20000, graph_split_size=0.5, edge_sampler=uniform, supervised=False, attributed=False
0	0.5731644 -0.49239475 -0.29803577 -0.8663771 0.37773567 -1.1184847 2.0238688 0.4423494 0.4158036 0.11316216 -0.9460855 1.0027866 1.0971917 -0.62258124 0.45736063 0.91770303 -0.19040914 -2.0510707 0.7639441 0.59113175 0.40588906 0.6835829 -0.036355853 1.2108124 -0.32374248 1.0842712 0.08228281 0.56223553 1.8326439 -0.5552291 1.3273511 0.41015187 0.2603578 -1.2321783 0.81902796 -0.93515134 0.4407296 0.030882653 -0.47021168 -0.5994026 -1.592286 -1.558086 -1.0517694 0.052844033 0.960972 -1.1567343 -0.9703044 1.2327515 0.61503965 0.3276206
1	-0.020084994 0.5213482 0.4598887 -0.65315795 -0.52589506 -1.4568626 0.33673617 -0.17056341 -0.31657344 -1.8249247 -0.4374007 -0.3447579 0.72014594 0.40313753 -1.2924964 -1.2557428 0.2479588 -0.1592586 -1.1451151 0.21409826 -2.9329348 0.18285505 1.0038706 1.4652313 -0.8018356 0.99753267 0.3086416 -0.64329433 -0.12717761 -0.12070479 -1.4255844 -0.4194543 -0.7658085 -0.33605143 -0.2731265 0.5678044 -0.9623667 1.0645748 1.3590505 -0.46620405 -0.026618302 -0.21942383 1.4553337 1.1645662 0.43012223 -0.5411757 1.5643739 1.7724551 1.0692742 -2.5290306
2	-0.77551377 0.37422115 -0.5095376 -1.7734486 -1.0319391 -1.1817113 -1.413867 -0.1915575 0.99065715 0.18078607 0.20623413 -1.3657763 1.2333692 -2.09067 0.21335764 -0.5051634 0.73042786 1.6735694 0.953529 0.2807941 -0.28916276 0.015397557 -0.22660975 0.6036095 -1.121137 -0.29635614 0.39651513 0.06702219 0.04792427 -1.150217 -1.1823016 0.984527 0.8332858 0.076991685 0.39807168 0.055570044 0.34996885 0.23641835 1.0611062 -1.1990027 -0.059305854 0.107124075 0.44716144 1.5885221 0.83011955 -1.1925249 0.7970625 1.2088991 -0.2055657 0.63589805
3	0.6999297 0.09584165 -0.03538008 -0.13215901 0.9275444 -0.3966119 1.0301076 1.2441689 -0.0894758 0.35249442 -0.48045564 0.4856883 1.0696428 -0.8352806 0.006907016 1.0325887 -2.7013676 -0.67170656 0.3388128 0.2070831 0.28152055 -0.15546736 0.0698831 -0.15991469 1.1304361 0.03894423 0.43762895 -0.61700684 -2.0707455 -0.11514104 1.2937325 0.96816164 -1.493739 0.61907977 0.527914 -0.39237317 0.11550613 0.60304594 1.1525371 -0.04508865 1.2487153 0.40907106 1.6028379 0.7617351 0.43113536 -0.5119913 -0.7546139 0.5079497 0.7726727 -1.5862038
4	0.8304845 -0.28675312 -0.7133958 1.114931 0.52342427 -0.4164749 -0.22133242 -0.36380982 0.7947693 -0.38426512 -1.4776349 -0.43581724 -0.8649604 -0.8576102 1.1520859 -0.23010437 -0.64561254 -0.5311994 -2.0735857 -0.05996604 0.1417041 -1.5366402 -0.37453866 0.64669234 -0.4536082 -0.52348673 -0.87584674 1.2243602 -1.7663381 0.18971464 -1.3593161 0.9890079 -2.1684322 0.76560485 1.6910242 -0.3445731 0.19108352 0.6643912 -0.27027088 -2.788079 -0.82039595 0.046304114 0.3024478 0.036871746 0.9206223 -0.3805155 0.73465693 -0.24975368 -0.105246596 -1.0840482
5	-1.1306591 -1.4244161 -1.8888699 0.5398377 -0.75092566 0.31911033 -0.9643666 0.603588 -0.5116124 -0.1398072 -1.1201012 -0.70981365 0.7536548 0.22765692 -1.4197938 -0.24080183 -0.37673607 -0.9878861 -0.12701012 -0.92326194 -0.13997841 -0.35301435 0.03321836 0.39307413 -0.6644692 1.4277489 -0.6770636 -0.1837825 -1.403317 -0.62897134 -1.389626 0.14581797 -0.591778 -0.91791695 -1.2833451 -0.8710581 -0.06355985 -0.051266234 0.8299283 -2.3422046 -1.0288551 -0.5510846 0.2215731 -1.0062085 0.8181069 0.38293487 1.5581206 0.07529122 0.98155665 -1.0651783
6	0.10994229 -0.68092155 -0.68755347 -0.5269877 -1.7497433 -0.88377935 -0.41174996 0.22401801 -0.20719838 -1.0841347 0.35565063 0.17378935 -1.3544565 0.110353984 -0.6103929 0.27089736 0.40008473 -0.43379784 1.5965176 -0.6223606 0.49791074 -0.7911242 -0.9584294 -0.8045799 0.036462422 0.63103294 -0.23897283 -0.12995875 0.12576826 -1.1940887 0.004936669 0.8630708 -0.8503822 -0.24131079 -0.38534924 -1.1876388 -0.11095229 -0.8376113 0.63052064 0.27206704 0.79453206 -1.0244869 -1.052563 0.4418428 0.5057704 0.70963013 -0.42020556 0.23535205 0.7863091 -1.4436666
7	-0.10450446 -0.12351477 -1.2146305 -0.5596332 -0.32435507 -1.7580343 0.20231394 0.9116781 0.108358875 0.24319923 0.5626204 -0.4977517 0.34781778 -0.5638896 0.34595498 -0.53196824 0.43110514 -0.14747147 -0.22836258 -0.45939648 0.42289895 -0.24739683 1.3734803 1.2492326 -1.699425 0.0062073544 0.22413272 0.18901317 0.55030406 -0.7035123 0.6081691 0.81810707 -1.2441794 -0.265991 -1.2579366 -1.0914992 -0.0074381563 -0.59157294 -0.6149644 -0.50707614 0.07568303 -0.82823306 0.24760783 1.0275545 -0.56943136 0.3470081 0.42550915 -1.3652842 0.88182276 -1.2851111
8	-0.663341 -0.08190039 -0.014738533 -0.60372937 -0.009621331 -0.09379582 0.47311518 -0.17080416 -0.81966585 0.2789922 -0.41066426 0.083221115 -0.49075788 0.68966556 0.42934597 -1.40457 0.21844393 0.19402564 0.23320386 -0.32814524 -0.14583798 -0.17475829 -0.14429036 -0.070147954 0.41963524 -0.7805804 0.2534388 0.6906778 0.24048927 0.6086847 1.0135211 -0.6559574 -1.0330894 -0.0040405737 0.3550075 -0.56851625 0.6046271 1.5710431 0.30454093 -0.9661921 -0.28006062 -0.8010658 -1.0326985 0.19195978 0.37876898 -0.21809947 0.5905316 0.5685696 -0.6493679 0.19386497
9	1.1125255 -0.85125303 0.05687579 0.12377098 0.40562016 -0.13673508 -0.13926207 0.22876887 0.11297974 -0.6818116 -1.0295973 0.35412285 0.14990768 -0.042332154 0.5166456 0.4691232 -0.48572612 1.7548686 0.2932155 0.41865578 -0.38802484 -0.52826476 1.8316694 -0.13870218 -1.752 0.22078452 -0.9285495 0.033292703 0.76577973 -0.97330683 -0.5253911 -0.17891848 -2.1553452 -0.5581582 2.428131 -1.5144554 0.8022371 -0.29915413 0.6368031 -0.15910617 -0.86222464 -0.34894213 0.039041705 0.2662488 2.4178686 -1.5958126 -0.06841895 0.31608534 -0.18445481 0.13812815
