size=50, epochs=400, nbatches=50, alpha=0.025000, margin=1.000000
0	-0.226054 0.175770 -0.054996 -0.035586 -0.115318 0.207768 -0.176340 -0.041164 0.177755 0.122629 -0.181236 -0.032919 -0.055743 -0.026231 0.054526 0.045388 0.031330 0.011911 -0.002051 0.177909 0.146349 -0.140254 -0.096369 -0.044934 0.164818 0.196509 0.085012 -0.129093 -0.113288 0.086049 0.171994 -0.007563 -0.127998 0.055129 0.142547 0.027173 0.072609 -0.202557 0.067699 0.240627 -0.088179 -0.217950 -0.065228 0.111715 0.179342 -0.029192 0.037155 0.068186 -0.180483 -0.162438 
1	-0.326217 0.101343 0.029910 0.150141 -0.093777 0.139414 0.160447 -0.150269 0.070052 -0.032326 -0.216821 0.022509 -0.170233 -0.116984 0.234268 0.106080 0.111311 0.026020 -0.272232 0.236347 0.010014 -0.063086 0.051264 -0.266720 0.066315 0.001721 -0.128224 0.265482 0.003160 -0.109241 0.103107 0.093861 -0.161932 0.123901 0.035211 0.006207 -0.132511 -0.163544 -0.124501 0.061905 -0.188688 -0.116914 -0.021277 0.025341 0.162642 -0.080833 -0.094107 -0.113512 -0.188938 -0.002908 
2	-0.141000 0.127038 -0.121599 0.133026 -0.144265 0.193724 0.073109 -0.050779 0.009820 0.036703 -0.156292 0.172944 0.181751 -0.062638 0.127343 0.102884 0.081646 -0.061137 -0.132988 -0.062976 0.067084 0.109209 0.060348 -0.169586 -0.071198 -0.040944 0.169591 0.203312 -0.150020 -0.033069 0.050071 -0.112181 -0.078473 -0.186282 0.063856 -0.168485 -0.068603 -0.085802 -0.033375 0.114795 0.098235 -0.108646 0.148515 0.007154 0.124946 -0.066846 0.129775 0.192173 -0.095354 -0.018365 
3	0.051419 0.157131 -0.015009 0.026345 0.001983 0.264054 0.173644 -0.300187 0.198404 -0.082636 -0.164808 -0.010659 -0.066258 -0.132796 0.056575 -0.008796 0.141447 0.060907 -0.169465 -0.027392 -0.036631 0.022122 0.170260 -0.005938 -0.033172 0.055018 0.027005 -0.085865 0.027802 -0.147956 0.052784 0.212291 -0.339066 -0.101019 -0.148156 0.042724 -0.230528 0.014708 0.221314 0.107202 -0.188137 -0.251652 -0.004148 -0.126256 0.164930 -0.067770 0.081785 -0.109820 -0.199380 0.220089 
4	-0.085319 0.008037 -0.292234 0.240826 -0.225456 0.213957 0.081326 -0.212021 0.044073 0.217241 -0.008563 0.027036 0.047552 0.062790 -0.021459 0.139842 0.174038 0.061104 -0.055277 0.108754 -0.000945 -0.062816 -0.015345 0.116943 -0.289783 -0.019785 -0.004394 0.249944 -0.177341 -0.063350 -0.075025 0.104050 -0.049962 0.171378 0.283659 -0.095769 -0.224803 -0.030089 -0.058227 0.145820 0.005732 -0.040994 -0.086690 0.177599 0.286156 0.010314 0.101382 -0.024912 0.142677 -0.088147 
5	0.026979 0.065369 -0.277424 -0.050029 -0.047003 0.069569 -0.144521 -0.067762 -0.105811 -0.082614 -0.042681 0.160064 -0.016037 -0.162657 0.140900 -0.075824 0.306776 -0.121221 -0.096750 -0.014862 -0.025508 -0.108201 0.059451 0.009166 -0.055019 0.130888 0.169128 0.037577 0.116086 -0.231490 0.065147 0.138651 0.069156 0.004618 0.179310 -0.091274 -0.043025 0.151185 0.115091 0.168950 -0.160474 -0.158910 0.029366 -0.059678 0.317568 0.018963 0.116192 0.260827 -0.101876 0.021490 
6	-0.221224 -0.007043 -0.032369 0.001459 -0.192630 0.186314 0.041906 -0.051589 0.094641 0.127477 -0.250877 0.089205 0.070271 0.009490 0.093631 0.292221 0.204083 -0.315581 -0.071127 -0.069575 0.123318 -0.109210 0.109036 -0.026283 -0.002830 0.044000 0.058625 0.008416 -0.213657 -0.057338 0.004519 0.149059 -0.056591 0.176095 -0.171528 -0.121700 -0.041043 0.162845 -0.183596 0.236473 -0.034559 0.097737 0.139472 0.285340 0.131805 -0.077918 -0.122819 -0.067925 -0.219602 -0.108122 
7	-0.048900 -0.059668 -0.073998 0.106997 0.016284 0.235533 0.048845 -0.205992 0.044151 0.234179 -0.175390 0.237925 -0.069083 -0.092021 0.013103 0.153173 0.008309 -0.166564 0.003545 0.330031 0.150246 -0.106317 0.152594 -0.122138 -0.079709 0.007157 -0.125226 -0.138553 -0.018375 0.090895 -0.115314 -0.163312 -0.258723 0.213382 0.206156 -0.014432 -0.060197 0.075756 0.046528 0.241033 -0.024738 -0.235408 0.088373 0.182863 0.091484 0.077446 -0.135808 -0.030526 -0.163923 0.119004 
8	-0.043864 -0.059364 -0.083403 0.213142 -0.219644 0.201320 -0.014861 0.040989 -0.104889 0.292671 -0.146385 -0.286742 -0.053926 -0.247662 0.008676 0.079008 0.134807 0.041969 -0.134912 0.031232 -0.038152 0.146784 0.061300 -0.079393 -0.137043 -0.131446 -0.037388 0.175304 -0.046340 0.079715 -0.026794 0.005763 -0.013916 -0.085020 0.044441 0.142244 -0.098329 -0.006281 -0.141988 -0.052844 -0.018899 0.074955 0.023906 0.063814 -0.028992 0.165669 -0.010587 0.073922 -0.101152 0.152156 
9	-0.123842 0.218383 -0.089984 -0.070288 -0.044968 -0.051906 -0.217103 0.004454 0.030483 0.190902 -0.204400 0.003357 0.037592 -0.216818 -0.056711 0.158349 0.085809 -0.183401 -0.205579 0.212454 0.063826 -0.012977 -0.061383 -0.171333 -0.055263 -0.067505 0.041229 0.150501 -0.002458 -0.071937 0.167521 0.111435 -0.037669 -0.048912 0.213071 -0.019035 -0.274616 0.141340 -0.064922 0.042563 0.012951 0.059475 -0.118839 -0.022400 0.174026 -0.195194 0.040051 0.288821 0.084754 0.063924 
