size=50, negative=5, samples=1.00M, iters=500, alpha=0.030000
0	-0.259618 -0.120259 -0.230605 0.022692 -0.273803 -0.075643 0.005960 0.279994 0.069837 -0.243646 -0.088576 -0.127616 -0.085273 -0.270669 -0.352087 0.005243 -0.182980 -0.146024 0.038747 -0.339152 -0.070748 0.036482 -0.157184 0.031400 0.197708 0.019665 0.006866 -0.286023 0.000440 -0.077867 0.213263 -0.193216 -0.096246 0.120390 -0.206365 -0.056110 -0.066614 0.183781 -0.101363 0.000027 0.037888 -0.074847 0.241406 0.029933 0.040813 0.086662 -0.086955 -0.124390 -0.063275 -0.110840 
1	-0.148297 -0.125009 -0.186009 -0.069968 -0.263185 0.080536 0.089994 0.243337 0.090772 -0.195481 -0.174732 -0.241599 -0.287488 -0.194056 -0.125680 -0.209677 0.117911 -0.115768 0.035672 -0.332977 0.136733 -0.193778 -0.088461 0.189397 -0.084161 -0.109725 0.013701 -0.240160 0.101505 0.029767 0.411096 -0.206175 0.147041 0.442565 -0.036960 -0.233085 0.108346 0.068386 -0.106518 0.028412 0.018683 0.002487 0.369629 0.077503 -0.016535 0.077530 -0.086787 0.046593 0.172369 -0.057939 
2	-0.222787 -0.222528 -0.004208 -0.010592 -0.210228 -0.049179 0.178733 0.360601 0.054637 -0.071372 -0.122643 0.179907 -0.032528 -0.013233 -0.247088 0.081333 -0.118401 0.035526 -0.141417 -0.151373 0.066751 -0.209433 0.007707 0.124002 -0.204348 -0.149162 -0.031003 -0.274973 -0.051832 -0.146136 -0.057293 0.139123 0.029249 0.076306 -0.071950 0.100837 0.008725 0.157179 0.256020 -0.270665 0.207333 -0.123636 0.262152 0.049912 0.034917 0.116548 0.162378 0.058828 0.177671 0.017132 
3	0.192976 0.225194 0.058912 0.084873 -0.026860 -0.308890 0.039573 0.245821 0.009897 -0.277424 -0.189587 -0.447945 -0.085555 -0.261273 -0.046128 -0.050544 -0.019454 -0.041240 0.164535 -0.245414 0.166890 0.190734 -0.108791 0.028174 0.217542 0.074825 -0.119028 0.069553 -0.112547 -0.053263 0.139169 -0.009634 -0.029575 0.511262 0.369282 0.100607 0.077179 0.161263 -0.124648 0.218531 -0.324028 -0.130982 0.236802 -0.080762 0.156006 -0.142323 0.074136 -0.396961 0.334698 -0.290009 
4	0.136524 0.084415 0.050701 0.026148 0.059531 -0.020909 0.068992 -0.090644 -0.061919 -0.151685 -0.117905 -0.264070 -0.191971 -0.145735 -0.024727 -0.099590 0.076269 -0.003627 0.159426 -0.021252 0.073103 0.159505 -0.038078 0.036801 0.055301 0.144416 -0.180457 -0.047698 0.191243 -0.042694 0.006145 0.116358 0.077907 0.231207 0.283027 0.151142 0.029152 0.137233 0.074239 0.010737 -0.223538 -0.072201 0.202794 -0.047636 0.152106 -0.229683 0.077402 -0.322516 -0.008836 -0.203136 
5	0.214446 0.195215 -0.026733 -0.019275 0.136793 -0.122345 0.016956 0.015914 0.055362 -0.266257 -0.130869 -0.289887 -0.173101 -0.256985 0.038661 -0.125869 0.065278 -0.034214 0.077469 -0.090944 0.062009 0.280633 -0.095328 -0.008026 0.099747 0.078789 -0.087899 -0.069383 -0.007267 -0.022254 0.002887 0.039920 -0.089835 0.295463 0.124366 0.005698 0.013493 0.165916 -0.166639 0.007862 -0.183693 -0.037108 0.220212 0.016015 0.057327 -0.253329 0.088110 -0.241665 0.084168 -0.266145 
6	-0.075126 0.097781 0.086569 0.084327 -0.004814 -0.139055 0.015201 0.210787 0.221126 -0.202937 -0.125255 0.007453 -0.173678 -0.097114 0.069087 -0.078014 0.062269 0.004620 0.242838 -0.163526 0.121221 0.037552 0.060846 -0.024633 0.169054 -0.043233 -0.240875 0.076523 0.057496 -0.136564 0.017047 -0.056066 -0.213030 0.012111 0.125703 0.106703 0.074357 0.419974 -0.093466 0.045302 -0.333531 0.096877 0.146592 -0.039768 -0.057427 -0.216916 0.245815 -0.089199 0.267282 -0.122009 
7	0.118508 0.107948 -0.038420 -0.114356 0.189998 -0.094279 0.027332 0.110570 -0.010832 -0.180658 -0.017856 -0.335432 -0.300117 -0.289479 0.029077 -0.151159 0.005574 -0.115278 0.158745 -0.140276 0.049152 0.052517 0.069167 -0.096114 0.267483 0.053767 -0.147361 -0.054455 -0.010268 -0.139466 -0.051171 -0.016614 -0.016083 0.274725 0.012515 0.116239 -0.029633 0.065303 -0.036310 -0.058123 -0.071421 -0.187204 0.177217 -0.083666 0.057565 -0.000750 0.011309 -0.087137 0.151519 -0.215509 
8	0.193067 -0.044431 1.619862 1.482738 -1.134874 -1.305104 0.250479 -1.791778 0.784483 0.172468 1.794285 -0.724414 0.756535 -0.148193 0.390196 -0.096506 -0.286847 -1.528409 1.982438 0.792749 -0.190752 0.097901 0.104433 -0.532055 2.095662 0.256690 0.997322 -0.882479 -1.039322 -0.431597 -0.208039 0.317241 -0.804156 0.379326 -0.382288 0.590562 -1.431266 1.080189 0.012040 1.401425 0.971331 -1.147998 -0.290258 1.025841 -0.471586 -0.920429 0.751680 -0.508872 -1.593075 0.007403 
9	-0.241822 -0.238500 -0.183975 -0.085437 -0.304053 0.062421 -0.051735 0.143129 0.009300 -0.099024 -0.333805 -0.106875 -0.305080 -0.372318 -0.086266 -0.135694 0.024361 -0.085420 -0.005944 -0.240025 0.237203 -0.164027 -0.293036 -0.094939 0.034519 -0.174990 -0.068679 -0.277392 0.191945 0.149547 0.250541 -0.224585 0.400211 0.308738 0.078550 -0.246256 -0.050097 0.052038 -0.014967 -0.080148 0.031454 0.023197 0.254439 0.024093 0.067295 0.031422 -0.330333 -0.222662 -0.020248 -0.096430 
