size=50, negative=5, samples=1.00M, iters=1, alpha=0.005000
0	0.028886 -0.018012 -0.071423 0.066153 0.033979 0.005718 -0.101536 -0.055939 0.026500 0.008647 0.058090 -0.084985 0.033424 0.059124 0.075289 -0.033057 -0.012723 -0.047396 -0.050306 0.023069 0.017505 -0.010563 0.004289 0.003486 -0.030167 0.055278 -0.004600 0.001487 0.030219 0.016520 0.096101 -0.004758 -0.037397 -0.035676 0.011667 -0.029026 -0.059498 -0.019626 0.033699 0.081362 0.009764 0.081705 0.005919 -0.044040 0.076726 -0.015564 -0.011919 -0.005733 -0.039456 -0.013901 
1	0.025020 -0.014058 -0.079059 0.103344 0.023215 0.015636 -0.114500 -0.066199 0.014093 0.009038 0.065232 -0.103641 0.025544 0.067974 0.117950 -0.048059 -0.023734 -0.047388 -0.062151 0.012114 0.017749 -0.012910 -0.008953 0.003259 -0.028435 0.050680 -0.019678 -0.024076 0.026864 0.018324 0.151089 -0.015634 -0.062424 -0.060418 0.021681 -0.019357 -0.080950 -0.012939 0.050837 0.113043 0.004526 0.085868 0.013913 -0.065952 0.101540 -0.032780 -0.017104 -0.007030 -0.044778 -0.022246 
2	0.012358 0.009068 -0.019699 0.048268 0.013542 0.016500 -0.046439 -0.014885 0.003592 0.005550 0.048356 -0.022148 0.013243 0.042437 0.044711 -0.024900 -0.026857 -0.026982 -0.026246 0.020094 -0.003532 -0.012081 0.009124 -0.008159 -0.003604 0.032422 0.009511 0.004505 0.001636 -0.008299 0.034106 -0.012618 -0.031529 -0.015642 0.023123 -0.009202 -0.037719 -0.031268 0.007232 0.044947 0.018962 0.050650 0.008496 -0.050305 0.041907 0.001967 -0.014509 -0.003189 -0.027393 -0.003995 
3	0.031525 -0.005654 -0.070583 0.088602 0.033608 0.018838 -0.117467 -0.065699 0.019654 0.014482 0.070743 -0.087831 0.033891 0.079220 0.098402 -0.040218 -0.013361 -0.043905 -0.052425 0.020803 0.025360 -0.006203 -0.008327 0.001370 -0.024768 0.067710 -0.001508 -0.018541 0.031769 0.015493 0.118567 0.000420 -0.061796 -0.042130 0.019629 -0.018618 -0.073460 -0.027746 0.044442 0.098757 0.011821 0.080538 0.009699 -0.073757 0.104050 -0.015336 -0.011641 -0.021280 -0.031977 -0.014357 
4	0.034346 -0.019276 -0.085038 0.087065 0.022425 0.021233 -0.126328 -0.070272 0.021289 0.007528 0.077040 -0.092713 0.030154 0.077908 0.094956 -0.040648 -0.031471 -0.037520 -0.053278 0.021458 0.018864 -0.010040 -0.004578 0.000935 -0.024395 0.065079 -0.011473 -0.002157 0.025696 0.007842 0.126066 -0.007072 -0.058908 -0.047512 0.026286 -0.026449 -0.091630 -0.028113 0.058462 0.104397 0.020877 0.080719 0.014669 -0.063965 0.087748 -0.025496 -0.009724 -0.015863 -0.035336 -0.011724 
5	0.022273 -0.000166 -0.084989 0.095111 0.029214 0.011433 -0.121672 -0.061935 0.030816 0.003980 0.070220 -0.110891 0.028700 0.071266 0.108992 -0.045531 -0.032179 -0.046473 -0.050955 0.018756 0.021670 -0.010941 -0.011788 -0.013810 -0.027651 0.057959 -0.008713 -0.021253 0.021195 0.008407 0.149062 -0.009459 -0.064210 -0.065804 0.019053 -0.023793 -0.080739 -0.020375 0.068541 0.115084 0.018307 0.094677 0.004757 -0.073053 0.103869 -0.025758 -0.020297 -0.017780 -0.045512 -0.010338 
6	0.006848 -0.010257 -0.018964 0.045680 0.015646 0.001769 -0.041506 -0.008600 0.015187 -0.003962 0.029533 -0.010803 0.010798 0.028688 0.019180 -0.007298 -0.010338 -0.024325 -0.030602 0.022146 -0.000144 -0.006609 0.019647 -0.001122 -0.000887 0.025387 0.005736 0.002495 -0.004440 0.003079 0.027156 -0.003437 -0.022866 -0.010273 0.007670 -0.019426 -0.024248 -0.018128 0.016526 0.027587 0.014267 0.041097 -0.006106 -0.035752 0.033802 0.009728 0.011238 -0.004152 -0.010937 0.009090 
7	0.026768 -0.008348 -0.066052 0.057860 0.017483 0.001894 -0.085425 -0.041866 0.019716 -0.000863 0.061050 -0.065617 0.012962 0.048614 0.067118 -0.031802 -0.013226 -0.041603 -0.036189 0.011584 0.010313 -0.009960 -0.007257 -0.007372 -0.016992 0.057508 -0.003699 -0.014181 0.015960 0.018466 0.101384 0.002015 -0.035672 -0.029525 0.018416 -0.024006 -0.056128 -0.004214 0.039883 0.068662 0.006602 0.074936 0.004479 -0.034571 0.070362 -0.017384 -0.006078 -0.004438 -0.033433 -0.012848 
8	-0.132934 -0.111762 0.372543 -0.103230 0.525753 -0.267158 0.235226 0.266657 0.060394 -0.096866 0.026762 0.552594 -0.068001 -0.040264 -0.192711 0.440570 0.291552 -0.103940 0.139087 0.182215 -0.145206 -0.233779 0.060809 0.168152 0.446987 -0.168689 0.342036 0.296547 -0.106273 -0.164754 -0.576568 0.229798 -0.007092 0.544905 -0.225938 0.320709 0.187289 -0.149073 -0.630631 -0.266743 0.192226 -0.048755 -0.141152 0.362243 -0.188606 0.403275 0.567334 -0.256049 -0.083442 0.118880 
9	0.033658 -0.015049 -0.108028 0.104650 0.014665 0.018421 -0.136481 -0.076970 0.030488 0.012528 0.078166 -0.132802 0.037059 0.083028 0.133067 -0.062722 -0.033409 -0.053366 -0.065159 0.008304 0.020084 -0.007655 -0.020524 -0.015504 -0.046775 0.074066 -0.015425 -0.032108 0.036351 0.011544 0.172714 -0.019200 -0.063514 -0.067367 0.034071 -0.031592 -0.104858 -0.017281 0.069920 0.125239 0.021055 0.099489 0.011187 -0.093942 0.124806 -0.027343 -0.038308 -0.007625 -0.034356 -0.010212 
