
0	0.061391696 0.12783754 -0.268043 0.06989595 -0.10698865 0.10212672 0.07733181 0.054278187 0.28531918 -0.19210821 0.1811516 0.120413974 0.09214636 0.030748049 -0.06751135 -0.029881878 -0.08004834 -0.119213395 -0.1704929 0.15923005 0.04292847 -0.060000047 0.13902216 -0.21168734 -0.19622684 0.06351178 0.22775029 0.113197386 0.026945675 -0.22771867 0.13424543 0.13795161 -0.03708651 0.04956373 -0.041916143 -0.19281991 -0.09402976 0.023377324 -0.07843305 0.10363221 0.00991052 0.04750944 -0.15745264 -0.047610268 0.033411227 -0.059321426 -0.19826661 -0.07123025 -0.25413162 -0.16334523
1	-0.11406466 0.016600328 0.158844 -0.056108743 0.04485297 0.16414724 -0.01482168 0.1852691 0.20021749 -0.051948663 0.04800511 0.056410536 0.005470784 -0.102185756 -0.048586767 -0.009984378 -0.05310602 -0.0799264 -0.23879677 0.05430489 0.07656191 -0.019147461 0.116976455 -0.09048254 -0.27274647 -0.025890777 0.069770224 -0.054468945 0.08440589 -0.26354644 0.19097283 0.26569167 -0.039303698 -0.071909 0.0030780039 -0.20342067 -0.18801677 0.08420776 0.01321513 0.003129308 -0.05931809 0.10086551 0.0076241284 0.12934221 0.004217067 -0.033420764 -0.13324396 -0.03276734 -0.21314365 -0.042052113
2	-0.013516886 -0.08401169 -0.08040146 -0.11132219 -0.044915646 0.064104155 0.05514344 0.10495391 0.15151778 -0.15314645 -0.14271727 0.26395768 -0.046957966 -0.15625753 -0.14428248 -0.13582179 0.012986645 0.14315876 -0.1477218 -0.049413852 -0.10688776 0.0548588 0.0717058 -0.1727474 -0.036990043 0.14156045 -0.023735017 0.15508632 0.043924034 -0.22666031 0.3581278 -0.054986503 0.12695809 -0.035486534 -0.043451812 -0.025773654 -0.17422806 -0.08979286 -0.14321002 0.032597918 -0.05363467 0.022381583 0.10214199 0.19858311 0.034952343 0.024860421 -0.31483024 -0.18532456 0.034912385 -0.026889967
3	0.040620256 -0.13361016 0.039452627 -0.09931681 0.1068352 -0.017104948 0.18176082 0.15882699 0.34332094 -0.108831726 -0.1250613 0.07845471 0.18631896 -0.08180059 0.021498995 0.05603947 0.099957764 0.131902 -0.1941548 -0.095662326 0.13607316 0.22994469 0.09763253 -0.17445885 -0.2148401 0.07649583 0.10780525 0.03087758 -0.12735908 -0.4649747 0.30451548 -0.03898171 0.12192306 -0.11529284 0.028150223 -0.27031842 -0.018872334 0.05984134 -0.102636844 0.17881404 0.13568947 0.060709257 0.1583584 0.19988555 0.04576487 -0.29503205 -0.14470373 -0.0955441 -0.07032798 0.13905053
4	-0.018048288 -0.10902671 -0.117932975 0.09495859 -0.11317896 -0.0864956 0.08241844 0.22255339 0.21061972 -0.04379847 0.09925038 0.14207864 -0.07028323 -0.3030661 -0.038373783 -0.11286457 0.05551512 0.117822655 -0.41615927 -0.0132244555 0.17755671 0.09459629 0.13922565 -0.013758387 0.079934865 0.020977214 0.117774874 -0.082398705 0.16608357 -0.29876718 0.18195821 0.054331526 0.16950843 -0.26028588 0.15251331 -0.013289305 -0.11521878 -0.004909243 -0.1535409 -0.07250888 -0.048087176 -0.047300167 -0.006325807 0.08000264 0.18861583 -0.10929174 -0.12891217 0.0016083964 -0.1082813 0.086510345
5	-0.0026016755 0.19079964 0.028563015 -0.065479495 -0.024088483 0.1219498 -0.061716896 0.20325264 0.12956999 -0.0766737 0.075086415 -0.0006874482 0.02179266 -0.13052957 -0.05468124 -0.096238166 -0.07139132 -0.15801518 -0.36377716 -0.0317145 -0.010980854 0.100831315 0.20971929 0.00531845 -0.17158405 0.18251033 -0.004568657 -0.20808211 0.04861408 -0.20262207 0.21969904 0.053795844 0.24539196 -0.25360754 -0.06526321 -0.037419412 -0.103172705 -0.09963566 0.015013431 0.11053734 -0.0855854 0.053109378 0.0075354828 -0.020508297 0.060123656 -0.15288565 -0.18688768 0.010466477 -0.101769395 0.014151799
6	0.121838264 0.17445174 0.10754574 0.032830097 0.04380296 -0.10352431 0.04284237 -0.059669547 0.16871695 0.07556991 -0.008159256 -0.04363041 -0.0984419 -0.15092212 -0.08838299 -0.014334949 0.006954774 0.08947165 -0.2591727 -0.010957241 -0.039098993 -0.10589884 -0.016475387 0.07413901 0.0035116975 -0.026510648 -0.06007576 -0.0741754 -0.013207859 -0.20484251 0.24615642 -0.031906456 0.084217094 0.09272013 -0.14852394 0.12970671 -0.03694539 0.06481638 -0.17441337 0.30334708 -0.02184327 -0.041296944 0.022226721 0.020984843 -0.03584547 -0.12675121 -0.2084301 -0.07666416 0.081367955 -0.14607355
7	0.007875896 -0.04736268 -0.10075941 -0.03134979 0.041868035 0.15790768 0.009035643 0.1186995 0.07967587 0.033854764 0.073443554 0.20978604 0.31929168 -0.10445209 -0.17505309 0.12799944 0.06794306 -0.046227224 -0.1060132 0.020587124 0.039208446 -0.014373811 0.25685614 -0.18135802 -0.10798611 -0.007870274 -0.102309406 -0.065966755 -0.08160722 -0.3118629 0.15788776 0.15387829 0.11792909 -0.028856229 -0.1093834 -0.14544648 -0.08798664 -0.12581638 -0.25448766 0.07351965 0.027269244 0.20128787 0.1625489 -0.11677263 0.044648692 0.0041448236 -0.11225795 -0.095518604 -0.079128325 0.0788234
8	0.07710508 0.08753332 -0.025540726 -0.20613939 0.07434215 0.10702899 0.11215921 0.079191364 0.10500227 -0.17298855 -0.13924044 0.086758345 0.13962892 0.028974822 0.002031532 -0.030538248 0.065955035 0.12803274 -0.24609989 0.095249265 -0.113736555 -0.018887974 0.09574473 -0.12699972 -0.0022996326 0.15449384 0.018230215 0.057259247 -0.058095753 -0.40543047 0.3011503 0.16010144 0.13933696 -0.06421202 0.062317073 -0.0138263265 -0.116865546 0.048346277 -0.25185582 0.096234515 -0.016358625 -0.0922879 0.060103185 0.16282831 -0.0027229514 0.11152863 -0.087939285 -0.11551277 0.01238834 -0.021369958
9	0.014092565 0.04933297 -0.10782176 -0.05434586 0.01933426 0.16816743 0.08960552 0.15908262 0.22157517 0.07120651 0.009297274 0.11465342 0.072047666 -0.24602368 -0.15585935 -0.14081426 0.048218828 0.0055304836 -0.2145479 0.124273285 0.013731786 -0.051367972 0.0064254487 0.057558898 -0.09789303 -0.06899079 0.09916849 -0.02406057 -0.08226328 -0.19280075 0.2362801 0.10126699 0.052158084 -0.15090013 -0.012761734 0.03301657 -0.11871262 0.086199515 -0.11363972 0.03281099 0.043851104 0.11409123 0.07519984 -0.084478386 0.20280583 -0.0342731 -0.16795172 -0.06755124 -0.08290419 -0.04961356
